# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.295832+00:00"",""center_freq_hz"":1421205800,""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":5,""calibration_scan_count"":5,""sky_source_files"":[""../data/commiss_21cm_data_061626/2026-06-17T00-05-31.325128+00-00_galactic_plane_scan001_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-05-52.078317+00-00_galactic_plane_scan002_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-12.897079+00-00_galactic_plane_scan003_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-33.602760+00-00_galactic_plane_scan004_fc1421205800.csv"",""../data/commiss_21cm_data_061626/2026-06-17T00-06-54.357652+00-00_galactic_plane_scan005_fc1421205800.csv""],""calibration_source_files"":[""../data/commiss_50ohm_data_061626/2026-06-17T00-02-22.291556+00-00_50ohm_termination_scan001_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-02-42.977907+00-00_50ohm_termination_scan002_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-03.717139+00-00_50ohm_termination_scan003_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-24.474795+00-00_50ohm_termination_scan004_fc1421205800.csv"",""../data/commiss_50ohm_data_061626/2026-06-17T00-03-45.229081+00-00_50ohm_termination_scan005_fc1421205800.csv""],""sky_observations"":[{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:31.325192+00:00"",""target_name"":""galactic_plane"",""scan_index"":1,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:52.078379+00:00"",""target_name"":""galactic_plane"",""scan_index"":2,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:12.897139+00:00"",""target_name"":""galactic_plane"",""scan_index"":3,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:33.602824+00:00"",""target_name"":""galactic_plane"",""scan_index"":4,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:06:54.357715+00:00"",""target_name"":""galactic_plane"",""scan_index"":5,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}],""calibration_observations"":[{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:22.291618+00:00"",""load_label"":""50ohm_termination"",""scan_index"":1,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:02:42.977970+00:00"",""load_label"":""50ohm_termination"",""scan_index"":2,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:03.717199+00:00"",""load_label"":""50ohm_termination"",""scan_index"":3,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:24.474856+00:00"",""load_label"":""50ohm_termination"",""scan_index"":4,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}},{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:45.229142+00:00"",""load_label"":""50ohm_termination"",""scan_index"":5,""scan_count"":5,""frequency_index"":4,""frequency_count"":5,""center_freq_hz"":1421205800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}]}"
frequency_hz,frequency_mhz,sky_psd_linear_per_hz,calibration_psd_linear_per_hz,sky_over_50ohm
1420006000.000,1420.006000000,5.729838213695e-10,3.055568829044e-10,1.875211633013e+00
1420006585.938,1420.006585938,6.064577672942e-10,3.008663536855e-10,2.015704846572e+00
1420007171.875,1420.007171875,5.868155611837e-10,3.007872202543e-10,1.950932492037e+00
1420007757.812,1420.007757812,5.755055362272e-10,3.011415762494e-10,1.911079643651e+00
1420008343.750,1420.008343750,6.046220518208e-10,2.999816461619e-10,2.015530148450e+00
1420008929.688,1420.008929688,5.994514325525e-10,2.992290610411e-10,2.003319565509e+00
1420009515.625,1420.009515625,5.809103581244e-10,2.972776806716e-10,1.954100142372e+00
1420010101.562,1420.010101562,5.930140363860e-10,2.964286344580e-10,2.000528854003e+00
1420010687.500,1420.010687500,6.191783469122e-10,2.959708438963e-10,2.092024804744e+00
1420011273.438,1420.011273438,5.688674884526e-10,2.975503542545e-10,1.911836031511e+00
1420011859.375,1420.011859375,5.665202171385e-10,2.962868898613e-10,1.912066434676e+00
1420012445.312,1420.012445312,5.625614382119e-10,2.930712819010e-10,1.919537917748e+00
1420013031.250,1420.013031250,5.342189924612e-10,2.974382649255e-10,1.796066799257e+00
1420013617.188,1420.013617188,5.185221191998e-10,2.970123206599e-10,1.745793299240e+00
1420014203.125,1420.014203125,5.226957720095e-10,2.955664319454e-10,1.768454450558e+00
1420014789.062,1420.014789062,5.505047865297e-10,2.952246883834e-10,1.864697663140e+00
1420015375.000,1420.015375000,5.193960759304e-10,2.927152979729e-10,1.774407007517e+00
1420015960.938,1420.015960938,5.018541967738e-10,2.920462690030e-10,1.718406465137e+00
1420016546.875,1420.016546875,4.978446448845e-10,2.923699265829e-10,1.702790197005e+00
1420017132.812,1420.017132812,4.870693332674e-10,2.934172253949e-10,1.659988886514e+00
1420017718.750,1420.017718750,4.905177940567e-10,2.930283751546e-10,1.673960051814e+00
1420018304.688,1420.018304688,4.978363596002e-10,2.937764590015e-10,1.694609436346e+00
1420018890.625,1420.018890625,4.987230352000e-10,2.894412454787e-10,1.723054481662e+00
1420019476.562,1420.019476562,4.969824346341e-10,2.895706329866e-10,1.716273606575e+00
1420020062.500,1420.020062500,5.203926461432e-10,2.866826796727e-10,1.815221787160e+00
1420020648.438,1420.020648438,5.278203988693e-10,2.921416833986e-10,1.806727450629e+00
1420021234.375,1420.021234375,5.290650574875e-10,2.933173669119e-10,1.803729056543e+00
1420021820.312,1420.021820312,5.406568475118e-10,2.944764139162e-10,1.835993722967e+00
1420022406.250,1420.022406250,5.545386731863e-10,2.910386874186e-10,1.905377866100e+00
1420022992.188,1420.022992188,5.664344121550e-10,2.920544856066e-10,1.939481980489e+00
1420023578.125,1420.023578125,5.714643581334e-10,2.931650282543e-10,1.949292388442e+00
1420024164.062,1420.024164062,5.539239390695e-10,2.892572620761e-10,1.914987147060e+00
1420024750.000,1420.024750000,5.434505882017e-10,2.908868886763e-10,1.868253982415e+00
1420025335.938,1420.025335938,5.413625810472e-10,2.932456512862e-10,1.846106084345e+00
1420025921.875,1420.025921875,5.319270786745e-10,2.931020520274e-10,1.814818678324e+00
1420026507.812,1420.026507812,5.380291746943e-10,2.937831219137e-10,1.831382181487e+00
1420027093.750,1420.027093750,5.373115917179e-10,2.932062248642e-10,1.832538146033e+00
1420027679.688,1420.027679688,5.220769744980e-10,2.926416639045e-10,1.784014509527e+00
1420028265.625,1420.028265625,5.157126619779e-10,2.891167116471e-10,1.783752516552e+00
1420028851.562,1420.028851562,5.169936644204e-10,2.867515204691e-10,1.802932600234e+00
1420029437.500,1420.029437500,4.961172889560e-10,2.897989601591e-10,1.711936056236e+00
1420030023.438,1420.030023438,4.763641077102e-10,2.881366714980e-10,1.653257481020e+00
1420030609.375,1420.030609375,4.727768642144e-10,2.875511461580e-10,1.644148773292e+00
1420031195.312,1420.031195312,4.724065614487e-10,2.904872536268e-10,1.626255732569e+00
1420031781.250,1420.031781250,4.706417726465e-10,2.860316081758e-10,1.645418755109e+00
1420032367.188,1420.032367188,4.674724491827e-10,2.853151583598e-10,1.638442387254e+00
1420032953.125,1420.032953125,4.806798800060e-10,2.905080223243e-10,1.654618265479e+00
1420033539.062,1420.033539062,4.899126693508e-10,2.890309198790e-10,1.695018199284e+00
1420034125.000,1420.034125000,4.879348941058e-10,2.892916873927e-10,1.686653697185e+00
1420034710.938,1420.034710938,4.993044194847e-10,2.906179904235e-10,1.718078150486e+00
1420035296.875,1420.035296875,4.949294149708e-10,2.895647213387e-10,1.709218625400e+00
1420035882.812,1420.035882812,5.046979801763e-10,2.874998604680e-10,1.755472087377e+00
1420036468.750,1420.036468750,5.164858182314e-10,2.892406527472e-10,1.785661224747e+00
1420037054.688,1420.037054688,5.346068123533e-10,2.893842515713e-10,1.847394284418e+00
1420037640.625,1420.037640625,5.290154911027e-10,2.873875796545e-10,1.840773674836e+00
1420038226.562,1420.038226562,5.361569370362e-10,2.897282557179e-10,1.850551081763e+00
1420038812.500,1420.038812500,5.564453287625e-10,2.907353345029e-10,1.913923980771e+00
1420039398.438,1420.039398438,5.472459534295e-10,2.880244853969e-10,1.899998025083e+00
1420039984.375,1420.039984375,5.327131497256e-10,2.869106432279e-10,1.856721464678e+00
1420040570.312,1420.040570312,5.426316967377e-10,2.833871007699e-10,1.914807326316e+00
1420041156.250,1420.041156250,5.480262877723e-10,2.832288568863e-10,1.934923912051e+00
1420041742.188,1420.041742188,5.117906815408e-10,2.864868022728e-10,1.786437202275e+00
1420042328.125,1420.042328125,5.017330742927e-10,2.865236314997e-10,1.751105385851e+00
