# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:33:11.509171+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626"",""sky_scan_count"":25,""calibration_scan_count"":25}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1417608343.750,1417.608343750,1.506647557764e+00,9
1417613617.188,1417.613617188,1.400268930171e+00,9
1417618597.656,1417.618597656,1.359944496962e+00,8
1417623578.125,1417.623578125,1.453648796050e+00,9
1417628558.594,1417.628558594,1.395473579571e+00,8
1417633539.062,1417.633539062,1.340901516835e+00,9
1417638519.531,1417.638519531,1.407575979657e+00,8
1417643500.000,1417.643500000,1.353722843763e+00,9
1417648480.469,1417.648480469,1.338270082586e+00,8
1417653460.938,1417.653460938,1.453832359959e+00,9
1417658441.406,1417.658441406,1.381944503196e+00,8
1417663421.875,1417.663421875,1.319684632239e+00,9
1417668402.344,1417.668402344,1.379026318632e+00,8
1417673382.812,1417.673382812,1.313333755705e+00,9
1417678363.281,1417.678363281,1.295055765187e+00,8
1417683343.750,1417.683343750,1.373495999034e+00,9
1417688617.188,1417.688617188,1.309555145133e+00,9
1417693597.656,1417.693597656,1.293614690873e+00,8
1417698578.125,1417.698578125,1.385278736700e+00,9
1417703558.594,1417.703558594,1.326100195911e+00,8
1417708539.062,1417.708539062,1.271702875970e+00,9
1417713519.531,1417.713519531,1.342345395974e+00,8
1417718500.000,1417.718500000,1.278901529276e+00,9
1417723480.469,1417.723480469,1.248303154291e+00,8
1417728460.938,1417.728460938,1.306199986548e+00,9
1417733441.406,1417.733441406,1.269646076364e+00,8
1417738421.875,1417.738421875,1.278033633756e+00,9
1417743402.344,1417.743402344,1.404091684104e+00,8
1417748382.812,1417.748382812,1.317645973934e+00,9
1417753363.281,1417.753363281,1.297107068859e+00,8
1417758343.750,1417.758343750,1.350691246878e+00,9
1417763617.188,1417.763617188,1.296641421444e+00,9
