# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-06-17T00:52:42.520648+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":5000.0,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/commiss_21cm_data_061626_2"",""calibration_data_dir"":""../data/commiss_50ohm_data_061626_2"",""sky_scan_count"":100,""calibration_scan_count"":100}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1417608343.750,1417.608343750,1.825523239861e+00,9
1417613617.188,1417.613617188,1.695357657733e+00,9
1417618597.656,1417.618597656,1.639717795204e+00,8
1417623578.125,1417.623578125,1.759848151119e+00,9
1417628558.594,1417.628558594,1.665049918804e+00,8
1417633539.062,1417.633539062,1.621564064906e+00,9
1417638519.531,1417.638519531,1.734806064546e+00,8
1417643500.000,1417.643500000,1.622469582988e+00,9
1417648480.469,1417.648480469,1.605759410727e+00,8
1417653460.938,1417.653460938,1.763267086880e+00,9
1417658441.406,1417.658441406,1.659277810657e+00,8
1417663421.875,1417.663421875,1.589438391657e+00,9
1417668402.344,1417.668402344,1.688730094552e+00,8
1417673382.812,1417.673382812,1.600136019179e+00,9
1417678363.281,1417.678363281,1.560840417904e+00,8
1417683343.750,1417.683343750,1.685302013401e+00,9
1417688617.188,1417.688617188,1.601134585310e+00,9
1417693597.656,1417.693597656,1.579162416644e+00,8
1417698578.125,1417.698578125,1.668892815842e+00,9
1417703558.594,1417.703558594,1.604290160885e+00,8
1417708539.062,1417.708539062,1.549336556412e+00,9
1417713519.531,1417.713519531,1.631349172409e+00,8
1417718500.000,1417.718500000,1.533469950660e+00,9
1417723480.469,1417.723480469,1.509065942546e+00,8
1417728460.938,1417.728460938,1.606393009967e+00,9
1417733441.406,1417.733441406,1.545663066969e+00,8
1417738421.875,1417.738421875,1.557818083028e+00,9
1417743402.344,1417.743402344,1.650549950907e+00,8
1417748382.812,1417.748382812,1.557936628817e+00,9
1417753363.281,1417.753363281,1.547605624609e+00,8
1417758343.750,1417.758343750,1.646534292640e+00,9
1417763617.188,1417.763617188,1.575141890264e+00,9
1417768597.656,1417.768597656,1.524891084635e+00,8
1417773578.125,1417.773578125,1.630653807745e+00,9
1417778558.594,1417.778558594,1.570661919965e+00,8
1417783539.062,1417.783539062,1.529114898967e+00,9
1417788519.531,1417.788519531,1.646571101827e+00,8
1417793500.000,1417.793500000,1.596650742898e+00,9
1417798480.469,1417.798480469,1.545165224624e+00,8
1417803460.938,1417.803460938,1.696686994347e+00,9
1417808441.406,1417.808441406,1.579988340332e+00,8
1417813421.875,1417.813421875,1.525495973081e+00,9
1417818402.344,1417.818402344,1.600805106872e+00,8
1417823382.812,1417.823382812,1.509037572996e+00,9
1417828363.281,1417.828363281,1.537739646266e+00,8
1417833343.750,1417.833343750,1.669499164624e+00,9
1417838617.188,1417.838617188,1.548511273508e+00,9
1417843597.656,1417.843597656,1.575215145125e+00,8
1417848578.125,1417.848578125,1.634598002763e+00,9
1417853558.594,1417.853558594,1.612593257103e+00,8
1417858539.062,1417.858539062,1.556403412095e+00,9
1417863519.531,1417.863519531,1.641762944582e+00,8
1417868500.000,1417.868500000,1.552090831898e+00,9
1417873480.469,1417.873480469,1.535619354041e+00,8
1417878460.938,1417.878460938,1.677897356819e+00,9
1417883441.406,1417.883441406,1.558261205775e+00,8
1417888421.875,1417.888421875,1.538529101598e+00,9
1417893402.344,1417.893402344,1.660367211330e+00,8
1417898382.812,1417.898382812,1.534866778244e+00,9
1417903363.281,1417.903363281,1.507548101734e+00,8
1417908343.750,1417.908343750,1.597678449137e+00,9
1417913617.188,1417.913617188,1.520254573965e+00,9
1417918597.656,1417.918597656,1.523899139082e+00,8
1417923578.125,1417.923578125,1.676956597238e+00,9
1417928558.594,1417.928558594,1.571488184855e+00,8
1417933539.062,1417.933539062,1.520161651216e+00,9
1417938519.531,1417.938519531,1.721685293020e+00,8
1417943500.000,1417.943500000,1.598728128759e+00,9
1417948480.469,1417.948480469,1.528384934719e+00,8
1417953460.938,1417.953460938,1.631909894688e+00,9
1417958441.406,1417.958441406,1.534730732606e+00,8
1417963421.875,1417.963421875,1.547775096920e+00,9
1417968402.344,1417.968402344,1.662592901898e+00,8
1417973382.812,1417.973382812,1.584127687861e+00,9
1417978363.281,1417.978363281,1.531530459301e+00,8
1417983343.750,1417.983343750,1.693913847988e+00,9
1417988617.188,1417.988617188,1.561733825759e+00,9
1417993597.656,1417.993597656,1.508085475638e+00,8
1417998578.125,1417.998578125,1.588732069757e+00,9
1418003558.594,1418.003558594,1.538139532215e+00,8
1418008539.062,1418.008539062,1.540371993198e+00,9
1418013519.531,1418.013519531,1.688234691382e+00,8
1418018500.000,1418.018500000,1.568348822232e+00,9
1418023480.469,1418.023480469,1.491637203473e+00,8
1418028460.938,1418.028460938,1.631077246245e+00,9
1418033441.406,1418.033441406,1.543313747610e+00,8
1418038421.875,1418.038421875,1.532936267908e+00,9
1418043402.344,1418.043402344,1.656295762989e+00,8
1418048382.812,1418.048382812,1.557894031525e+00,9
1418053363.281,1418.053363281,1.536502043642e+00,8
1418058343.750,1418.058343750,1.638629222014e+00,9
1418063617.188,1418.063617188,1.558131787475e+00,9
1418068597.656,1418.068597656,1.541713190709e+00,8
1418073578.125,1418.073578125,1.643593105194e+00,9
1418078558.594,1418.078558594,1.575804003302e+00,8
1418083539.062,1418.083539062,1.517492061337e+00,9
1418088519.531,1418.088519531,1.586741437994e+00,8
1418093500.000,1418.093500000,1.529671217787e+00,9
1418098480.469,1418.098480469,1.537260103244e+00,8
1418103460.938,1418.103460938,1.657414043481e+00,9
1418108441.406,1418.108441406,1.551026891457e+00,8
1418113421.875,1418.113421875,1.537465911937e+00,9
1418118402.344,1418.118402344,1.675184594596e+00,8
1418123382.812,1418.123382812,1.582710309529e+00,9
1418128363.281,1418.128363281,1.526962930304e+00,8
1418133343.750,1418.133343750,1.649997542346e+00,9
1418138617.188,1418.138617188,1.547372225591e+00,9
1418143597.656,1418.143597656,1.530108246850e+00,8
1418148578.125,1418.148578125,1.659960871108e+00,9
1418153558.594,1418.153558594,1.553943194024e+00,8
1418158539.062,1418.158539062,1.530335803895e+00,9
1418163519.531,1418.163519531,1.677860652557e+00,8
1418168500.000,1418.168500000,1.562936627747e+00,9
1418173480.469,1418.173480469,1.508233137060e+00,8
1418178460.938,1418.178460938,1.594245801062e+00,9
1418183441.406,1418.183441406,1.518577373449e+00,8
1418188421.875,1418.188421875,1.531723454808e+00,9
1418193402.344,1418.193402344,1.653334717475e+00,8
1418198382.812,1418.198382812,1.548679772046e+00,9
1418203363.281,1418.203363281,1.530238814312e+00,8
