# metadata_json,"{""task"":""analyze_sky_vs_50ohm"",""timestamp_utc"":""2026-07-20T19:53:13.524807+00:00"",""product"":""stitched_sky_over_50ohm"",""ratio"":""sky_psd_linear_per_hz / calibration_psd_linear_per_hz"",""stitch_method"":""mean ratio in uniform frequency bins"",""stitched_bin_width_hz"":585.9370000362396,""center_freqs_hz"":[1418805800,1419605800,1420405800,1421205800,1422005800],""sky_data_dir"":""../data/lab_21cm_data_072026_2"",""calibration_data_dir"":""../data/lab_50ohm_data_072026_2"",""sky_scan_count"":100,""calibration_scan_count"":100}"
frequency_hz,frequency_mhz,sky_over_50ohm,n_points_averaged
1417606000.000,1417.606000000,1.565688043042e+01,1
1417606585.938,1417.606585938,1.816842221498e+01,1
1417607171.875,1417.607171875,6.000323487415e+00,1
1417607757.812,1417.607757812,3.209212418699e+00,1
1417608343.750,1417.608343750,3.419560780455e+00,1
1417608929.688,1417.608929688,3.176404896677e+00,1
1417609515.625,1417.609515625,3.185446962801e+00,1
1417610101.562,1417.610101562,3.223713620407e+00,1
1417610687.500,1417.610687500,3.335243257267e+00,1
1417611273.438,1417.611273438,3.109282687666e+00,1
1417611859.375,1417.611859375,3.526930366328e+00,1
1417612445.312,1417.612445312,3.197214562270e+00,1
1417613031.250,1417.613031250,2.894233703913e+00,1
1417613617.188,1417.613617188,2.867984837465e+00,1
1417614203.125,1417.614203125,2.850358263417e+00,1
1417614789.062,1417.614789062,3.097227151434e+00,1
1417615375.000,1417.615375000,3.561845770561e+00,1
1417615960.938,1417.615960938,3.169413618994e+00,1
1417616546.875,1417.616546875,3.110615526927e+00,1
1417617132.812,1417.617132812,3.018723593185e+00,1
1417617718.750,1417.617718750,3.033268946444e+00,1
1417618304.688,1417.618304688,3.183426323538e+00,1
1417618890.625,1417.618890625,3.143161026918e+00,1
1417619476.562,1417.619476562,3.173598266091e+00,1
1417620062.500,1417.620062500,3.556571044871e+00,1
1417620648.438,1417.620648438,3.462874110080e+00,1
1417621234.375,1417.621234375,3.216059372688e+00,1
1417621820.312,1417.621820312,3.031464943926e+00,1
1417622406.250,1417.622406250,2.987972990585e+00,1
1417622992.188,1417.622992188,3.111692907138e+00,1
1417623578.125,1417.623578125,3.272341937143e+00,1
1417624164.062,1417.624164062,3.373163383847e+00,1
1417624750.000,1417.624750000,3.294024193763e+00,1
1417625335.938,1417.625335938,3.202159480226e+00,1
1417625921.875,1417.625921875,3.315550167328e+00,1
1417626507.812,1417.626507812,3.048272071446e+00,1
1417627093.750,1417.627093750,2.921679242845e+00,1
1417627679.688,1417.627679688,3.101493557199e+00,1
1417628265.625,1417.628265625,3.420697832455e+00,1
1417628851.562,1417.628851562,3.330354554092e+00,1
1417629437.500,1417.629437500,3.230246604831e+00,1
1417630023.438,1417.630023438,3.332667202147e+00,1
1417630609.375,1417.630609375,3.467856890419e+00,1
1417631195.312,1417.631195312,3.636249958775e+00,1
1417631781.250,1417.631781250,3.304808224340e+00,1
1417632367.188,1417.632367188,3.289860672794e+00,1
1417632953.125,1417.632953125,3.229708910954e+00,1
1417633539.062,1417.633539062,3.068686964768e+00,1
1417634125.000,1417.634125000,3.017813322186e+00,1
1417634710.938,1417.634710938,3.036639122630e+00,1
1417635296.875,1417.635296875,3.141409101833e+00,1
1417635882.812,1417.635882812,3.081060798369e+00,1
1417636468.750,1417.636468750,3.093010926071e+00,1
1417637054.688,1417.637054688,3.231370320231e+00,1
1417637640.625,1417.637640625,3.482452370513e+00,1
1417638226.562,1417.638226562,3.243936874318e+00,1
1417638812.500,1417.638812500,2.989832589161e+00,1
1417639398.438,1417.639398438,2.982358467021e+00,1
1417639984.375,1417.639984375,3.746771204547e+00,1
1417640570.312,1417.640570312,4.497622062376e+00,1
1417641156.250,1417.641156250,3.278464077953e+00,1
1417641742.188,1417.641742188,3.204554127435e+00,1
1417642328.125,1417.642328125,3.658982877001e+00,1
1417642914.062,1417.642914062,5.312726833634e+00,1
1417643500.000,1417.643500000,6.045557198520e+00,1
1417644085.938,1417.644085938,3.811878090811e+00,1
1417644671.875,1417.644671875,3.206381885634e+00,1
1417645257.812,1417.645257812,3.215863954615e+00,1
1417645843.750,1417.645843750,3.184181218225e+00,1
1417646429.688,1417.646429688,3.225209497741e+00,1
1417647015.625,1417.647015625,3.249312762021e+00,1
1417647601.562,1417.647601562,3.076607103596e+00,1
1417648187.500,1417.648187500,3.180824604319e+00,1
1417648773.438,1417.648773438,3.032999496104e+00,1
1417649359.375,1417.649359375,2.977532055920e+00,1
1417649945.312,1417.649945312,2.984263333874e+00,1
1417650531.250,1417.650531250,3.012911512082e+00,1
1417651117.188,1417.651117188,3.105178110468e+00,1
1417651703.125,1417.651703125,3.518337771898e+00,1
1417652289.062,1417.652289062,3.093292476714e+00,1
1417652875.000,1417.652875000,3.432587426104e+00,1
1417653460.938,1417.653460938,7.299299534562e+00,1
1417654046.875,1417.654046875,5.839109318404e+00,1
1417654632.812,1417.654632812,3.177556229345e+00,1
1417655218.750,1417.655218750,2.978678550237e+00,1
1417655804.688,1417.655804688,2.970739969602e+00,1
1417656390.625,1417.656390625,3.032292608544e+00,1
1417656976.562,1417.656976562,3.208892340126e+00,1
1417657562.500,1417.657562500,3.742919817831e+00,1
1417658148.438,1417.658148438,3.216845958091e+00,1
1417658734.375,1417.658734375,2.912276933927e+00,1
1417659320.312,1417.659320312,2.924000751582e+00,1
1417659906.250,1417.659906250,3.069910362844e+00,1
