# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:05:27.194880+00:00"",""target_name"":""galactic_plane"",""scan_index"":1,""scan_count"":5,""frequency_index"":3,""frequency_count"":5,""center_freq_hz"":1420405800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419206000.000,1419.206000000,5.370531940540e-10
1419206585.938,1419.206585937,5.605938266056e-10
1419207171.875,1419.207171875,5.660888060416e-10
1419207757.812,1419.207757812,5.423555761865e-10
1419208343.750,1419.208343750,5.330627726780e-10
1419208929.688,1419.208929687,5.464388429888e-10
1419209515.625,1419.209515625,5.499840744594e-10
1419210101.562,1419.210101563,5.465467853877e-10
1419210687.500,1419.210687500,5.733064453190e-10
1419211273.438,1419.211273438,5.822932289751e-10
1419211859.375,1419.211859375,5.870610005476e-10
1419212445.312,1419.212445312,5.758605589192e-10
1419213031.250,1419.213031250,5.992808297959e-10
1419213617.188,1419.213617187,6.034488515121e-10
1419214203.125,1419.214203125,5.990421425447e-10
1419214789.062,1419.214789062,6.024042567082e-10
1419215375.000,1419.215375000,5.998475807789e-10
1419215960.938,1419.215960938,5.808305387578e-10
1419216546.875,1419.216546875,5.744167785525e-10
1419217132.812,1419.217132813,5.883060492101e-10
1419217718.750,1419.217718750,5.616667763951e-10
1419218304.688,1419.218304687,5.542647891892e-10
1419218890.625,1419.218890625,5.429740099982e-10
1419219476.562,1419.219476562,5.395376518707e-10
1419220062.500,1419.220062500,5.302811392765e-10
1419220648.438,1419.220648437,5.246084268196e-10
1419221234.375,1419.221234375,4.993636783663e-10
1419221820.312,1419.221820313,5.025349093684e-10
1419222406.250,1419.222406250,5.094570157629e-10
1419222992.188,1419.222992188,5.054108590075e-10
1419223578.125,1419.223578125,5.325547464902e-10
1419224164.062,1419.224164062,5.327452554410e-10
1419224750.000,1419.224750000,5.228760140035e-10
1419225335.938,1419.225335937,5.397847566981e-10
1419225921.875,1419.225921875,5.689538462439e-10
1419226507.812,1419.226507812,5.777706738637e-10
1419227093.750,1419.227093750,5.667351083838e-10
1419227679.688,1419.227679688,5.932820871344e-10
1419228265.625,1419.228265625,5.901237414370e-10
1419228851.562,1419.228851563,5.615420067029e-10
1419229437.500,1419.229437500,5.641569879156e-10
1419230023.438,1419.230023437,5.913513017978e-10
1419230609.375,1419.230609375,6.124092127685e-10
1419231195.312,1419.231195312,5.966000865648e-10
1419231781.250,1419.231781250,5.734151784496e-10
1419232367.188,1419.232367187,5.352167683530e-10
1419232953.125,1419.232953125,5.314989129152e-10
1419233539.062,1419.233539063,5.542209842023e-10
1419234125.000,1419.234125000,5.454393701380e-10
1419234710.938,1419.234710938,5.176905393302e-10
1419235296.875,1419.235296875,5.105412083989e-10
1419235882.812,1419.235882812,5.060030510790e-10
1419236468.750,1419.236468750,4.980231239343e-10
1419237054.688,1419.237054687,5.062631561073e-10
1419237640.625,1419.237640625,5.071026857015e-10
1419238226.562,1419.238226562,4.911460106092e-10
1419238812.500,1419.238812500,5.297628861241e-10
1419239398.438,1419.239398438,5.598159227160e-10
1419239984.375,1419.239984375,5.544925862693e-10
1419240570.312,1419.240570313,5.527606753199e-10
1419241156.250,1419.241156250,5.739978999138e-10
1419241742.188,1419.241742187,5.644600121671e-10
1419242328.125,1419.242328125,5.841085069512e-10
1419242914.062,1419.242914062,6.334815624540e-10
1419243500.000,1419.243500000,5.977286602553e-10
1419244085.938,1419.244085937,5.963040955380e-10
1419244671.875,1419.244671875,5.740029629964e-10
1419245257.812,1419.245257813,5.945054250305e-10
1419245843.750,1419.245843750,6.115209711396e-10
1419246429.688,1419.246429688,5.714949752659e-10
1419247015.625,1419.247015625,5.484496052611e-10
1419247601.562,1419.247601562,5.328852588022e-10
1419248187.500,1419.248187500,5.311697497591e-10
1419248773.438,1419.248773437,5.265555499546e-10
1419249359.375,1419.249359375,5.213146915005e-10
1419249945.312,1419.249945312,5.064079136415e-10
1419250531.250,1419.250531250,5.025709353871e-10
1419251117.188,1419.251117188,4.949085014574e-10
1419251703.125,1419.251703125,4.754270257919e-10
1419252289.062,1419.252289063,4.718492083690e-10
1419252875.000,1419.252875000,4.695449965255e-10
1419253460.938,1419.253460937,4.640912068009e-10
1419254046.875,1419.254046875,4.736875371485e-10
1419254632.812,1419.254632812,4.977932810070e-10
1419255218.750,1419.255218750,4.938428767615e-10
1419255804.688,1419.255804687,4.956323397831e-10
1419256390.625,1419.256390625,5.260586833683e-10
1419256976.562,1419.256976563,5.569587540789e-10
1419257562.500,1419.257562500,5.407437956222e-10
1419258148.438,1419.258148438,5.337116076958e-10
1419258734.375,1419.258734375,5.416894245881e-10
1419259320.312,1419.259320312,5.459481014659e-10
