# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-06-17T00:37:53.065560+00:00"",""target_name"":""galactic_plane"",""scan_index"":6,""scan_count"":20,""frequency_index"":5,""frequency_count"":5,""center_freq_hz"":1422005800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420806000.000,1420.806000000,9.682670707969e-10
1420806585.938,1420.806585937,9.525879871194e-10
1420807171.875,1420.807171875,8.939716977533e-10
1420807757.812,1420.807757813,8.769563697522e-10
1420808343.750,1420.808343750,8.741631470601e-10
1420808929.688,1420.808929688,8.070806261836e-10
1420809515.625,1420.809515625,7.875675892983e-10
1420810101.562,1420.810101562,8.125156430050e-10
1420810687.500,1420.810687500,7.979773563328e-10
1420811273.438,1420.811273437,7.753383480710e-10
1420811859.375,1420.811859375,7.448179242502e-10
1420812445.312,1420.812445312,7.622093649504e-10
1420813031.250,1420.813031250,7.220631572633e-10
1420813617.188,1420.813617188,7.774973580075e-10
1420814203.125,1420.814203125,8.007869784725e-10
1420814789.062,1420.814789063,8.363852898710e-10
1420815375.000,1420.815375000,7.851796872693e-10
1420815960.938,1420.815960937,7.772012320352e-10
1420816546.875,1420.816546875,8.467003314529e-10
1420817132.812,1420.817132812,8.439779432201e-10
1420817718.750,1420.817718750,9.027499778389e-10
1420818304.688,1420.818304687,9.354525701411e-10
1420818890.625,1420.818890625,8.973282120053e-10
1420819476.562,1420.819476563,9.035244886843e-10
1420820062.500,1420.820062500,9.136531792419e-10
1420820648.438,1420.820648438,8.870271230378e-10
1420821234.375,1420.821234375,8.416794057278e-10
1420821820.312,1420.821820312,8.598292145694e-10
1420822406.250,1420.822406250,8.934076048584e-10
1420822992.188,1420.822992187,8.025945602794e-10
1420823578.125,1420.823578125,7.937341637161e-10
1420824164.062,1420.824164062,7.676653181726e-10
1420824750.000,1420.824750000,7.475852180979e-10
1420825335.938,1420.825335938,7.472767033922e-10
1420825921.875,1420.825921875,7.527501015521e-10
1420826507.812,1420.826507813,7.569163914925e-10
1420827093.750,1420.827093750,7.230335216263e-10
1420827679.688,1420.827679687,7.825957003325e-10
1420828265.625,1420.828265625,7.423212516474e-10
1420828851.562,1420.828851562,7.111855965106e-10
1420829437.500,1420.829437500,7.702264049737e-10
1420830023.438,1420.830023437,7.863741185500e-10
1420830609.375,1420.830609375,8.228072611228e-10
1420831195.312,1420.831195313,8.565123695490e-10
1420831781.250,1420.831781250,8.743155766994e-10
1420832367.188,1420.832367188,8.620138094298e-10
1420832953.125,1420.832953125,8.419062850775e-10
1420833539.062,1420.833539062,8.379685654270e-10
1420834125.000,1420.834125000,8.627308761821e-10
1420834710.938,1420.834710937,8.542341838743e-10
1420835296.875,1420.835296875,8.491963687503e-10
1420835882.812,1420.835882812,8.915077702182e-10
1420836468.750,1420.836468750,8.640245404041e-10
1420837054.688,1420.837054688,8.151361385961e-10
1420837640.625,1420.837640625,8.627909227817e-10
1420838226.562,1420.838226563,8.305744341904e-10
1420838812.500,1420.838812500,7.865849371424e-10
1420839398.438,1420.839398437,7.628568130793e-10
1420839984.375,1420.839984375,7.823966161749e-10
1420840570.312,1420.840570312,7.460778221937e-10
1420841156.250,1420.841156250,7.505428717446e-10
1420841742.188,1420.841742187,7.695338016330e-10
1420842328.125,1420.842328125,7.365795987370e-10
1420842914.062,1420.842914063,7.093003333142e-10
1420843500.000,1420.843500000,7.279355984735e-10
1420844085.938,1420.844085938,7.494481406212e-10
1420844671.875,1420.844671875,7.187048087768e-10
1420845257.812,1420.845257812,7.575395859244e-10
1420845843.750,1420.845843750,7.825829629448e-10
1420846429.688,1420.846429687,7.963420320501e-10
1420847015.625,1420.847015625,8.253031499133e-10
1420847601.562,1420.847601562,8.228202327589e-10
1420848187.500,1420.848187500,8.443596260959e-10
1420848773.438,1420.848773438,8.645041155825e-10
1420849359.375,1420.849359375,8.686829505831e-10
1420849945.312,1420.849945313,8.416816836458e-10
1420850531.250,1420.850531250,8.124880515062e-10
1420851117.188,1420.851117187,7.946323723795e-10
1420851703.125,1420.851703125,8.327519196178e-10
1420852289.062,1420.852289062,8.059639440576e-10
1420852875.000,1420.852875000,7.848728715917e-10
1420853460.938,1420.853460937,7.619536398966e-10
1420854046.875,1420.854046875,7.112666624099e-10
1420854632.812,1420.854632813,7.114929721159e-10
1420855218.750,1420.855218750,6.975146245738e-10
1420855804.688,1420.855804688,6.662599997519e-10
1420856390.625,1420.856390625,6.812387123037e-10
1420856976.562,1420.856976562,6.691259495366e-10
1420857562.500,1420.857562500,6.679358900741e-10
1420858148.438,1420.858148437,7.050145084352e-10
1420858734.375,1420.858734375,7.221440128894e-10
1420859320.312,1420.859320312,7.142371971641e-10
1420859906.250,1420.859906250,7.246474829803e-10
1420860492.188,1420.860492188,7.331757338312e-10
1420861078.125,1420.861078125,7.506780317135e-10
1420861664.062,1420.861664063,7.678032394052e-10
1420862250.000,1420.862250000,7.766414771262e-10
1420862835.938,1420.862835937,7.860497478274e-10
1420863421.875,1420.863421875,8.375419121441e-10
1420864007.812,1420.864007812,8.123280293140e-10
1420864593.750,1420.864593750,8.329158286834e-10
1420865179.688,1420.865179687,8.273200083562e-10
1420865765.625,1420.865765625,8.021011339107e-10
1420866351.562,1420.866351563,8.124594228626e-10
1420866937.500,1420.866937500,7.650787206323e-10
1420867523.438,1420.867523438,7.656279734182e-10
1420868109.375,1420.868109375,7.443956987069e-10
1420868695.312,1420.868695312,7.600296150389e-10
1420869281.250,1420.869281250,7.260774614448e-10
1420869867.188,1420.869867187,7.002330284590e-10
1420870453.125,1420.870453125,7.182780802689e-10
1420871039.062,1420.871039062,6.815075955397e-10
1420871625.000,1420.871625000,6.834680883499e-10
1420872210.938,1420.872210938,6.569939049122e-10
