# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-06-17T00:03:49.381348+00:00"",""load_label"":""50ohm_termination"",""scan_index"":5,""scan_count"":5,""frequency_index"":5,""frequency_count"":5,""center_freq_hz"":1422005800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1420806000.000,1420.806000000,2.972524187199e-10
1420806585.938,1420.806585937,2.926051977590e-10
1420807171.875,1420.807171875,2.864547859290e-10
1420807757.812,1420.807757813,2.904084148840e-10
1420808343.750,1420.808343750,2.919028187562e-10
1420808929.688,1420.808929688,2.868721746586e-10
1420809515.625,1420.809515625,2.884072083313e-10
1420810101.562,1420.810101562,2.904673448196e-10
1420810687.500,1420.810687500,2.864182077639e-10
1420811273.438,1420.811273437,2.760139046797e-10
1420811859.375,1420.811859375,2.776539438213e-10
1420812445.312,1420.812445312,2.879314472042e-10
1420813031.250,1420.813031250,2.943811313882e-10
1420813617.188,1420.813617188,2.929827274995e-10
1420814203.125,1420.814203125,2.990337084585e-10
1420814789.062,1420.814789063,2.967687986332e-10
1420815375.000,1420.815375000,2.880166316979e-10
1420815960.938,1420.815960937,2.847244522072e-10
1420816546.875,1420.816546875,2.902889818451e-10
1420817132.812,1420.817132812,2.953571768203e-10
1420817718.750,1420.817718750,2.947340569094e-10
1420818304.688,1420.818304687,2.932064336010e-10
1420818890.625,1420.818890625,2.857517309320e-10
1420819476.562,1420.819476563,2.806484767410e-10
1420820062.500,1420.820062500,2.800543334811e-10
1420820648.438,1420.820648438,2.784299406906e-10
1420821234.375,1420.821234375,2.848446874657e-10
1420821820.312,1420.821820312,2.826928678111e-10
1420822406.250,1420.822406250,2.836053289720e-10
1420822992.188,1420.822992187,2.927628302571e-10
1420823578.125,1420.823578125,2.926204854716e-10
1420824164.062,1420.824164062,2.932615171206e-10
1420824750.000,1420.824750000,2.855748295935e-10
1420825335.938,1420.825335938,2.820586068811e-10
1420825921.875,1420.825921875,2.813189870705e-10
1420826507.812,1420.826507813,2.871451680690e-10
1420827093.750,1420.827093750,2.904500815926e-10
1420827679.688,1420.827679687,2.924747187577e-10
1420828265.625,1420.828265625,2.882784098709e-10
1420828851.562,1420.828851562,2.920349567006e-10
1420829437.500,1420.829437500,2.858826531803e-10
1420830023.438,1420.830023437,2.857503949839e-10
1420830609.375,1420.830609375,2.914733175059e-10
1420831195.312,1420.831195313,2.822136582720e-10
1420831781.250,1420.831781250,2.783739242175e-10
1420832367.188,1420.832367188,2.812431899529e-10
1420832953.125,1420.832953125,2.729786110134e-10
1420833539.062,1420.833539062,2.768730270803e-10
1420834125.000,1420.834125000,2.773981842522e-10
1420834710.938,1420.834710937,2.849701978661e-10
1420835296.875,1420.835296875,2.866310285812e-10
1420835882.812,1420.835882812,2.868675363721e-10
1420836468.750,1420.836468750,2.840758763129e-10
1420837054.688,1420.837054688,2.758105665208e-10
1420837640.625,1420.837640625,2.794512356251e-10
1420838226.562,1420.838226563,2.766668078861e-10
1420838812.500,1420.838812500,2.717670402769e-10
1420839398.438,1420.839398437,2.746068665047e-10
1420839984.375,1420.839984375,2.736913793791e-10
1420840570.312,1420.840570312,2.767045901524e-10
1420841156.250,1420.841156250,2.863338364598e-10
1420841742.188,1420.841742187,2.837423553838e-10
1420842328.125,1420.842328125,2.782056027511e-10
1420842914.062,1420.842914063,2.777720503246e-10
1420843500.000,1420.843500000,2.721745767075e-10
1420844085.938,1420.844085938,2.755050006945e-10
1420844671.875,1420.844671875,2.842519545433e-10
1420845257.812,1420.845257812,2.790480503626e-10
1420845843.750,1420.845843750,2.764187514743e-10
1420846429.688,1420.846429687,2.796905564820e-10
1420847015.625,1420.847015625,2.793605045706e-10
1420847601.562,1420.847601562,2.749399323759e-10
1420848187.500,1420.848187500,2.807761150052e-10
1420848773.438,1420.848773438,2.752033205926e-10
1420849359.375,1420.849359375,2.758056966501e-10
1420849945.312,1420.849945313,2.860766645962e-10
1420850531.250,1420.850531250,2.779423386303e-10
1420851117.188,1420.851117187,2.794123571936e-10
1420851703.125,1420.851703125,2.858792674013e-10
1420852289.062,1420.852289062,2.841937501274e-10
1420852875.000,1420.852875000,2.869223642298e-10
1420853460.938,1420.853460937,2.794709768878e-10
1420854046.875,1420.854046875,2.737082100971e-10
1420854632.812,1420.854632813,2.760269492502e-10
1420855218.750,1420.855218750,2.796775614944e-10
1420855804.688,1420.855804688,2.798176648185e-10
1420856390.625,1420.856390625,2.846709256010e-10
1420856976.562,1420.856976562,2.907932413774e-10
1420857562.500,1420.857562500,2.838314295336e-10
1420858148.438,1420.858148437,2.831769360219e-10
1420858734.375,1420.858734375,2.812227474456e-10
1420859320.312,1420.859320312,2.799392388834e-10
1420859906.250,1420.859906250,2.846918790472e-10
