# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-07-22T17:44:54.573872+00:00"",""load_label"":""50ohm_termination"",""scan_index"":6,""scan_count"":10,""frequency_index"":1,""frequency_count"":5,""center_freq_hz"":1418805800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1417606000.000,1417.606000000,3.065500201035e-10
1417606585.938,1417.606585938,3.222507337270e-10
1417607171.875,1417.607171875,3.249050091753e-10
1417607757.812,1417.607757813,3.199726841219e-10
1417608343.750,1417.608343750,3.138859676614e-10
1417608929.688,1417.608929687,3.126981115188e-10
1417609515.625,1417.609515625,3.109496053767e-10
1417610101.562,1417.610101562,3.116948839347e-10
1417610687.500,1417.610687500,3.158231235508e-10
1417611273.438,1417.611273437,3.162784443780e-10
1417611859.375,1417.611859375,3.177647579972e-10
1417612445.312,1417.612445313,3.231949771662e-10
1417613031.250,1417.613031250,3.199907673557e-10
1417613617.188,1417.613617188,3.164736882021e-10
1417614203.125,1417.614203125,3.110141590562e-10
1417614789.062,1417.614789062,3.111873533587e-10
1417615375.000,1417.615375000,3.175674403775e-10
1417615960.938,1417.615960937,3.099639390692e-10
1417616546.875,1417.616546875,3.045337571732e-10
1417617132.812,1417.617132812,3.098736788348e-10
1417617718.750,1417.617718750,3.158261902400e-10
1417618304.688,1417.618304688,3.142295222963e-10
1417618890.625,1417.618890625,3.136760490513e-10
1417619476.562,1417.619476563,3.163024114911e-10
1417620062.500,1417.620062500,3.089414809573e-10
1417620648.438,1417.620648437,3.108259392577e-10
1417621234.375,1417.621234375,3.137839208023e-10
1417621820.312,1417.621820312,3.105332955246e-10
1417622406.250,1417.622406250,3.050957989442e-10
1417622992.188,1417.622992187,3.063791622036e-10
1417623578.125,1417.623578125,3.155330671540e-10
1417624164.062,1417.624164063,3.193738680374e-10
1417624750.000,1417.624750000,3.147418281979e-10
1417625335.938,1417.625335938,3.094699268919e-10
1417625921.875,1417.625921875,2.964696240981e-10
1417626507.812,1417.626507812,2.922454315862e-10
1417627093.750,1417.627093750,2.996026430138e-10
1417627679.688,1417.627679687,3.036513474503e-10
1417628265.625,1417.628265625,3.073428838570e-10
1417628851.562,1417.628851562,3.130990575769e-10
1417629437.500,1417.629437500,3.123926237822e-10
1417630023.438,1417.630023438,3.133796601063e-10
1417630609.375,1417.630609375,3.072011597243e-10
1417631195.312,1417.631195313,3.060618711626e-10
1417631781.250,1417.631781250,3.112201995371e-10
1417632367.188,1417.632367187,3.168237091508e-10
1417632953.125,1417.632953125,3.046796576661e-10
1417633539.062,1417.633539062,3.089323937646e-10
1417634125.000,1417.634125000,3.081082781109e-10
1417634710.938,1417.634710937,3.041087055424e-10
1417635296.875,1417.635296875,3.023615777600e-10
1417635882.812,1417.635882813,3.000287901033e-10
1417636468.750,1417.636468750,2.981421991221e-10
1417637054.688,1417.637054688,3.009964616887e-10
1417637640.625,1417.637640625,3.127900626472e-10
1417638226.562,1417.638226562,3.170352438547e-10
1417638812.500,1417.638812500,3.063810670140e-10
1417639398.438,1417.639398437,3.006953039853e-10
1417639984.375,1417.639984375,3.021502833242e-10
1417640570.312,1417.640570312,3.034623001514e-10
1417641156.250,1417.641156250,3.059998931642e-10
1417641742.188,1417.641742188,3.084658052932e-10
1417642328.125,1417.642328125,3.000530541324e-10
1417642914.062,1417.642914063,3.040094410754e-10
1417643500.000,1417.643500000,3.018970727359e-10
1417644085.938,1417.644085937,3.009564821387e-10
1417644671.875,1417.644671875,2.999272087903e-10
1417645257.812,1417.645257812,2.971993434315e-10
1417645843.750,1417.645843750,3.035802414669e-10
1417646429.688,1417.646429687,3.075662608045e-10
1417647015.625,1417.647015625,3.000386039881e-10
1417647601.562,1417.647601563,2.960887852015e-10
1417648187.500,1417.648187500,2.995301224503e-10
1417648773.438,1417.648773438,3.019991450194e-10
1417649359.375,1417.649359375,2.994395619625e-10
1417649945.312,1417.649945312,2.993040536643e-10
1417650531.250,1417.650531250,3.045761160905e-10
1417651117.188,1417.651117187,3.026136364074e-10
1417651703.125,1417.651703125,3.080610764236e-10
1417652289.062,1417.652289062,3.107547998095e-10
1417652875.000,1417.652875000,2.971949286439e-10
1417653460.938,1417.653460938,2.926801414040e-10
1417654046.875,1417.654046875,3.026768467465e-10
1417654632.812,1417.654632813,3.077703808995e-10
1417655218.750,1417.655218750,3.137464930167e-10
1417655804.688,1417.655804687,3.012207212637e-10
1417656390.625,1417.656390625,2.961211262101e-10
1417656976.562,1417.656976562,3.085070906037e-10
1417657562.500,1417.657562500,3.109849770725e-10
1417658148.438,1417.658148437,3.030486092473e-10
1417658734.375,1417.658734375,3.063261330426e-10
1417659320.312,1417.659320313,3.047704533325e-10
1417659906.250,1417.659906250,2.904851843963e-10
1417660492.188,1417.660492188,3.023673347235e-10
1417661078.125,1417.661078125,2.999988366359e-10
1417661664.062,1417.661664062,2.964738206037e-10
1417662250.000,1417.662250000,2.957120076328e-10
1417662835.938,1417.662835937,2.988584574600e-10
1417663421.875,1417.663421875,3.044852236543e-10
1417664007.812,1417.664007812,3.029920973113e-10
1417664593.750,1417.664593750,3.029356984383e-10
1417665179.688,1417.665179688,3.090368060173e-10
1417665765.625,1417.665765625,2.980129063477e-10
1417666351.562,1417.666351563,2.987716316165e-10
1417666937.500,1417.666937500,2.970591067612e-10
1417667523.438,1417.667523437,2.956593185723e-10
1417668109.375,1417.668109375,2.917884717890e-10
1417668695.312,1417.668695312,3.011724536571e-10
1417669281.250,1417.669281250,3.059007007340e-10
1417669867.188,1417.669867187,3.042115059796e-10
1417670453.125,1417.670453125,3.031985187056e-10
1417671039.062,1417.671039063,3.036108088461e-10
1417671625.000,1417.671625000,3.044925965557e-10
1417672210.938,1417.672210938,3.127739866818e-10
1417672796.875,1417.672796875,3.109404102827e-10
1417673382.812,1417.673382812,3.086162608314e-10
1417673968.750,1417.673968750,3.050438573563e-10
1417674554.688,1417.674554687,3.102826284159e-10
1417675140.625,1417.675140625,3.084768529819e-10
1417675726.562,1417.675726562,3.108082817681e-10
1417676312.500,1417.676312500,3.118240554640e-10
1417676898.438,1417.676898438,3.143177660757e-10
1417677484.375,1417.677484375,3.058395979970e-10
1417678070.312,1417.678070313,3.093686250849e-10
1417678656.250,1417.678656250,3.177479526427e-10
1417679242.188,1417.679242187,3.133393158865e-10
1417679828.125,1417.679828125,3.110383746027e-10
1417680414.062,1417.680414062,3.159793014254e-10
1417681000.000,1417.681000000,3.196960852717e-10
1417681585.938,1417.681585937,3.143253317653e-10
1417682171.875,1417.682171875,3.139120095987e-10
1417682757.812,1417.682757813,3.109468244699e-10
1417683343.750,1417.683343750,3.155400833655e-10
1417683929.688,1417.683929688,3.140865419966e-10
1417684515.625,1417.684515625,3.114743395715e-10
1417685101.562,1417.685101562,3.135517123136e-10
1417685687.500,1417.685687500,3.242291557778e-10
1417686273.438,1417.686273437,3.220736636496e-10
1417686859.375,1417.686859375,3.141417365753e-10
1417687445.312,1417.687445312,3.232451649188e-10
1417688031.250,1417.688031250,3.216770465118e-10
1417688617.188,1417.688617188,3.150457243519e-10
1417689203.125,1417.689203125,3.208073538823e-10
1417689789.062,1417.689789063,3.246793559625e-10
1417690375.000,1417.690375000,3.245427166708e-10
1417690960.938,1417.690960937,3.172457954258e-10
1417691546.875,1417.691546875,3.226486384897e-10
1417692132.812,1417.692132812,3.247310864416e-10
1417692718.750,1417.692718750,3.228284283931e-10
1417693304.688,1417.693304687,3.264827868248e-10
1417693890.625,1417.693890625,3.314731906745e-10
1417694476.562,1417.694476563,3.407486834891e-10
1417695062.500,1417.695062500,3.422326957906e-10
1417695648.438,1417.695648438,3.379418446251e-10
1417696234.375,1417.696234375,3.295295342374e-10
1417696820.312,1417.696820312,3.165661748959e-10
1417697406.250,1417.697406250,3.180864360542e-10
1417697992.188,1417.697992187,3.250370183608e-10
1417698578.125,1417.698578125,3.287561721741e-10
1417699164.062,1417.699164062,3.210954786943e-10
1417699750.000,1417.699750000,3.288473790776e-10
1417700335.938,1417.700335938,3.361099030567e-10
1417700921.875,1417.700921875,3.414880045524e-10
1417701507.812,1417.701507813,3.414363326320e-10
1417702093.750,1417.702093750,3.347272426647e-10
1417702679.688,1417.702679687,3.394204581103e-10
1417703265.625,1417.703265625,3.392701191867e-10
1417703851.562,1417.703851562,3.359319246986e-10
1417704437.500,1417.704437500,3.368147245227e-10
1417705023.438,1417.705023437,3.393491243971e-10
1417705609.375,1417.705609375,3.359332936781e-10
1417706195.312,1417.706195313,3.339040905061e-10
1417706781.250,1417.706781250,3.484133218485e-10
1417707367.188,1417.707367188,3.548428921264e-10
1417707953.125,1417.707953125,3.446581373333e-10
1417708539.062,1417.708539062,3.449881943034e-10
1417709125.000,1417.709125000,3.459146476363e-10
1417709710.938,1417.709710937,3.528773248166e-10
1417710296.875,1417.710296875,3.555640312674e-10
1417710882.812,1417.710882812,3.406119723954e-10
1417711468.750,1417.711468750,3.411643334674e-10
1417712054.688,1417.712054688,3.423046339809e-10
1417712640.625,1417.712640625,3.488227821346e-10
1417713226.562,1417.713226563,3.477408056900e-10
1417713812.500,1417.713812500,3.528564237176e-10
1417714398.438,1417.714398437,3.583937556433e-10
1417714984.375,1417.714984375,3.589757250059e-10
1417715570.312,1417.715570312,3.632498254899e-10
1417716156.250,1417.716156250,3.619193354786e-10
1417716742.188,1417.716742187,3.629490331385e-10
1417717328.125,1417.717328125,3.656978155647e-10
1417717914.062,1417.717914063,3.626072495061e-10
1417718500.000,1417.718500000,3.629150424391e-10
1417719085.938,1417.719085938,3.599378349312e-10
1417719671.875,1417.719671875,3.604515947730e-10
1417720257.812,1417.720257812,3.631393535722e-10
1417720843.750,1417.720843750,3.693113335911e-10
1417721429.688,1417.721429687,3.784302666427e-10
1417722015.625,1417.722015625,3.806366115826e-10
1417722601.562,1417.722601562,3.697476479541e-10
1417723187.500,1417.723187500,3.693659461319e-10
1417723773.438,1417.723773438,3.794621611015e-10
1417724359.375,1417.724359375,3.808735969045e-10
1417724945.312,1417.724945313,3.737618108177e-10
1417725531.250,1417.725531250,3.780565733785e-10
1417726117.188,1417.726117187,3.778956209202e-10
1417726703.125,1417.726703125,3.780879980376e-10
1417727289.062,1417.727289062,3.804383066942e-10
1417727875.000,1417.727875000,3.805017990937e-10
1417728460.938,1417.728460937,3.831850998542e-10
1417729046.875,1417.729046875,3.866171416325e-10
1417729632.812,1417.729632813,3.912629721733e-10
1417730218.750,1417.730218750,3.968982034317e-10
1417730804.688,1417.730804688,3.911256976798e-10
1417731390.625,1417.731390625,3.836615959740e-10
1417731976.562,1417.731976562,3.850103700360e-10
1417732562.500,1417.732562500,3.890720757600e-10
1417733148.438,1417.733148437,3.901681760118e-10
1417733734.375,1417.733734375,4.003300968037e-10
1417734320.312,1417.734320312,4.063875443336e-10
1417734906.250,1417.734906250,4.042807991354e-10
1417735492.188,1417.735492188,3.921994627332e-10
1417736078.125,1417.736078125,3.879463146253e-10
1417736664.062,1417.736664063,3.906813163976e-10
1417737250.000,1417.737250000,4.022729608288e-10
1417737835.938,1417.737835937,3.984094285736e-10
1417738421.875,1417.738421875,3.970090981247e-10
1417739007.812,1417.739007812,4.081499636974e-10
1417739593.750,1417.739593750,4.228639020774e-10
1417740179.688,1417.740179687,4.284396051431e-10
1417740765.625,1417.740765625,4.065295815593e-10
1417741351.562,1417.741351563,3.935790866896e-10
1417741937.500,1417.741937500,4.056127470533e-10
1417742523.438,1417.742523438,4.120113587545e-10
1417743109.375,1417.743109375,4.216182768723e-10
1417743695.312,1417.743695312,4.149992100085e-10
1417744281.250,1417.744281250,4.247693789051e-10
1417744867.188,1417.744867187,4.204950911205e-10
1417745453.125,1417.745453125,4.183389144575e-10
1417746039.062,1417.746039062,4.190235689468e-10
1417746625.000,1417.746625000,4.130457248810e-10
1417747210.938,1417.747210938,4.286680693150e-10
1417747796.875,1417.747796875,4.382544464124e-10
1417748382.812,1417.748382813,4.330947314854e-10
1417748968.750,1417.748968750,4.280678593932e-10
1417749554.688,1417.749554687,4.322705488387e-10
1417750140.625,1417.750140625,4.230277285284e-10
1417750726.562,1417.750726562,4.264731660481e-10
1417751312.500,1417.751312500,4.348827500044e-10
1417751898.438,1417.751898437,4.338122160806e-10
1417752484.375,1417.752484375,4.463209230309e-10
1417753070.312,1417.753070313,4.344405135247e-10
1417753656.250,1417.753656250,4.458213193407e-10
1417754242.188,1417.754242188,4.435791416817e-10
1417754828.125,1417.754828125,4.287077404398e-10
1417755414.062,1417.755414062,4.236168868992e-10
1417756000.000,1417.756000000,4.320456628007e-10
1417756585.938,1417.756585937,4.409163501054e-10
1417757171.875,1417.757171875,4.528096223247e-10
1417757757.812,1417.757757812,4.530674426791e-10
1417758343.750,1417.758343750,4.458262498474e-10
1417758929.688,1417.758929688,4.422341616901e-10
1417759515.625,1417.759515625,4.509455266183e-10
1417760101.562,1417.760101563,4.527617146015e-10
1417760687.500,1417.760687500,4.573779637442e-10
1417761273.438,1417.761273437,4.599830971163e-10
1417761859.375,1417.761859375,4.605717832196e-10
1417762445.312,1417.762445312,4.582877482620e-10
1417763031.250,1417.763031250,4.611327971429e-10
1417763617.188,1417.763617187,4.661766420313e-10
1417764203.125,1417.764203125,4.671833998950e-10
1417764789.062,1417.764789063,4.664892656340e-10
1417765375.000,1417.765375000,4.538470316125e-10
1417765960.938,1417.765960938,4.580508040943e-10
1417766546.875,1417.766546875,4.821010486452e-10
1417767132.812,1417.767132812,4.921172343629e-10
1417767718.750,1417.767718750,4.865157869295e-10
1417768304.688,1417.768304687,4.833444118374e-10
1417768890.625,1417.768890625,4.774769747943e-10
1417769476.562,1417.769476562,4.693655256158e-10
1417770062.500,1417.770062500,4.592825806616e-10
1417770648.438,1417.770648438,4.764451443582e-10
1417771234.375,1417.771234375,4.825858942152e-10
1417771820.312,1417.771820313,4.668750090628e-10
1417772406.250,1417.772406250,4.625273608672e-10
1417772992.188,1417.772992187,4.739021704037e-10
1417773578.125,1417.773578125,4.789176053216e-10
1417774164.062,1417.774164062,4.770767442370e-10
1417774750.000,1417.774750000,4.786854430385e-10
1417775335.938,1417.775335937,4.841746700881e-10
1417775921.875,1417.775921875,4.790037531649e-10
1417776507.812,1417.776507813,4.968950695034e-10
1417777093.750,1417.777093750,4.995323184901e-10
1417777679.688,1417.777679688,5.008442340257e-10
1417778265.625,1417.778265625,5.052487055613e-10
1417778851.562,1417.778851562,5.148936769220e-10
1417779437.500,1417.779437500,5.087657461374e-10
1417780023.438,1417.780023437,5.022114690168e-10
1417780609.375,1417.780609375,4.984837484819e-10
1417781195.312,1417.781195312,5.014047351727e-10
1417781781.250,1417.781781250,4.941172685898e-10
1417782367.188,1417.782367188,5.037552952056e-10
1417782953.125,1417.782953125,5.069994954801e-10
1417783539.062,1417.783539063,4.978940218715e-10
1417784125.000,1417.784125000,5.212841346175e-10
1417784710.938,1417.784710937,5.223707670270e-10
1417785296.875,1417.785296875,5.170150519156e-10
1417785882.812,1417.785882812,5.141401870366e-10
1417786468.750,1417.786468750,5.109914448420e-10
1417787054.688,1417.787054687,5.070527449827e-10
1417787640.625,1417.787640625,5.178792404094e-10
1417788226.562,1417.788226563,5.196985998084e-10
1417788812.500,1417.788812500,5.349866958527e-10
1417789398.438,1417.789398438,5.403511345117e-10
1417789984.375,1417.789984375,5.270136404517e-10
1417790570.312,1417.790570312,5.193678165910e-10
1417791156.250,1417.791156250,5.235742199382e-10
1417791742.188,1417.791742187,5.111240501180e-10
1417792328.125,1417.792328125,5.084938768179e-10
1417792914.062,1417.792914062,5.315256826864e-10
1417793500.000,1417.793500000,5.371485475757e-10
1417794085.938,1417.794085938,5.353995820988e-10
1417794671.875,1417.794671875,5.450326058862e-10
