# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-07-20T20:11:15.621445+00:00"",""target_name"":""galactic_plane"",""scan_index"":14,""scan_count"":20,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1418406000.000,1418.406000000,9.962405470601e-10
1418406585.938,1418.406585938,9.515365597165e-10
1418407171.875,1418.407171875,8.845438749164e-10
1418407757.812,1418.407757812,8.811353185423e-10
1418408343.750,1418.408343750,8.230283041392e-10
1418408929.688,1418.408929687,9.159621829972e-10
1418409515.625,1418.409515625,8.691973088924e-10
1418410101.562,1418.410101562,8.056517838225e-10
1418410687.500,1418.410687500,8.296706735187e-10
1418411273.438,1418.411273438,1.099728999313e-09
1418411859.375,1418.411859375,1.356871147286e-09
1418412445.312,1418.412445313,9.957265195036e-10
1418413031.250,1418.413031250,8.198928767781e-10
1418413617.188,1418.413617187,8.185718070792e-10
1418414203.125,1418.414203125,7.850974038977e-10
1418414789.062,1418.414789062,8.479117502938e-10
1418415375.000,1418.415375000,9.577681642583e-10
1418415960.938,1418.415960937,1.026055725246e-09
1418416546.875,1418.416546875,9.171318354678e-10
1418417132.812,1418.417132813,8.484357268394e-10
1418417718.750,1418.417718750,8.343227112278e-10
1418418304.688,1418.418304688,8.696556103175e-10
1418418890.625,1418.418890625,9.298861128568e-10
1418419476.562,1418.419476562,8.380346594270e-10
1418420062.500,1418.420062500,7.682473680036e-10
1418420648.438,1418.420648437,8.107192245309e-10
1418421234.375,1418.421234375,8.204843328541e-10
1418421820.312,1418.421820312,8.378042268791e-10
1418422406.250,1418.422406250,8.349713025982e-10
1418422992.188,1418.422992188,8.259797786468e-10
1418423578.125,1418.423578125,9.284718128572e-10
1418424164.062,1418.424164063,1.461582725832e-09
1418424750.000,1418.424750000,1.153491229419e-09
1418425335.938,1418.425335937,8.217548781649e-10
1418425921.875,1418.425921875,7.802329675077e-10
1418426507.812,1418.426507812,8.227000823745e-10
1418427093.750,1418.427093750,8.380195924970e-10
1418427679.688,1418.427679687,7.725317028287e-10
1418428265.625,1418.428265625,7.974233301046e-10
1418428851.562,1418.428851563,8.139530189124e-10
1418429437.500,1418.429437500,8.500252625505e-10
1418430023.438,1418.430023438,8.017749772200e-10
1418430609.375,1418.430609375,8.419875963626e-10
1418431195.312,1418.431195312,8.023100729036e-10
1418431781.250,1418.431781250,7.942844427822e-10
1418432367.188,1418.432367187,7.990068589464e-10
1418432953.125,1418.432953125,8.280891741164e-10
1418433539.062,1418.433539062,9.361978732329e-10
1418434125.000,1418.434125000,8.703033930611e-10
1418434710.938,1418.434710938,7.927760891103e-10
1418435296.875,1418.435296875,8.200866527930e-10
1418435882.812,1418.435882813,8.218057642622e-10
1418436468.750,1418.436468750,1.003112526782e-09
1418437054.688,1418.437054687,1.667456182316e-09
1418437640.625,1418.437640625,1.053478827298e-09
1418438226.562,1418.438226562,8.948716555993e-10
1418438812.500,1418.438812500,7.980901341729e-10
1418439398.438,1418.439398437,8.122193872908e-10
1418439984.375,1418.439984375,8.630133308638e-10
1418440570.312,1418.440570313,9.101370317835e-10
1418441156.250,1418.441156250,8.429786047974e-10
1418441742.188,1418.441742188,7.933165502910e-10
1418442328.125,1418.442328125,8.638713705069e-10
1418442914.062,1418.442914062,1.016397264657e-09
1418443500.000,1418.443500000,1.475667037003e-09
1418444085.938,1418.444085937,1.463176070986e-09
1418444671.875,1418.444671875,1.012959495730e-09
1418445257.812,1418.445257812,8.517958295365e-10
1418445843.750,1418.445843750,7.869039997620e-10
1418446429.688,1418.446429688,7.315576038835e-10
1418447015.625,1418.447015625,8.682527610202e-10
1418447601.562,1418.447601563,1.250572095807e-09
1418448187.500,1418.448187500,1.005314143328e-09
1418448773.438,1418.448773437,7.972662662105e-10
1418449359.375,1418.449359375,7.954835760309e-10
1418449945.312,1418.449945312,7.964495333463e-10
1418450531.250,1418.450531250,8.572919170462e-10
1418451117.188,1418.451117187,1.021659125069e-09
1418451703.125,1418.451703125,8.682230394311e-10
1418452289.062,1418.452289063,7.912160821600e-10
1418452875.000,1418.452875000,8.449378736058e-10
1418453460.938,1418.453460938,1.035189023931e-09
1418454046.875,1418.454046875,8.864424424024e-10
1418454632.812,1418.454632812,9.040815526250e-10
1418455218.750,1418.455218750,7.942574328160e-10
1418455804.688,1418.455804687,8.694403867495e-10
1418456390.625,1418.456390625,9.488560426602e-10
1418456976.562,1418.456976562,9.600533856874e-10
1418457562.500,1418.457562500,8.479834419377e-10
1418458148.438,1418.458148438,8.297151463601e-10
1418458734.375,1418.458734375,7.907961359511e-10
1418459320.312,1418.459320313,7.531243261438e-10
1418459906.250,1418.459906250,7.679743332606e-10
1418460492.188,1418.460492187,8.591667490463e-10
1418461078.125,1418.461078125,8.190940274044e-10
1418461664.062,1418.461664062,9.058027095193e-10
1418462250.000,1418.462250000,8.545958820541e-10
1418462835.938,1418.462835937,8.600027172775e-10
1418463421.875,1418.463421875,8.144098968057e-10
1418464007.812,1418.464007813,7.789699971021e-10
1418464593.750,1418.464593750,7.704471119320e-10
1418465179.688,1418.465179688,8.148043997463e-10
1418465765.625,1418.465765625,8.149860433473e-10
1418466351.562,1418.466351562,7.988575092020e-10
1418466937.500,1418.466937500,7.392463450035e-10
1418467523.438,1418.467523437,7.346166395323e-10
1418468109.375,1418.468109375,7.587212968873e-10
1418468695.312,1418.468695312,1.314999911975e-09
1418469281.250,1418.469281250,2.207242524922e-09
1418469867.188,1418.469867188,1.198195477361e-09
1418470453.125,1418.470453125,8.137389056381e-10
1418471039.062,1418.471039063,7.529484954014e-10
1418471625.000,1418.471625000,9.163501473290e-10
1418472210.938,1418.472210937,8.310553762308e-10
1418472796.875,1418.472796875,7.733503020198e-10
1418473382.812,1418.473382812,8.258173018226e-10
1418473968.750,1418.473968750,7.957890613584e-10
1418474554.688,1418.474554687,8.136180807775e-10
1418475140.625,1418.475140625,7.623836342726e-10
1418475726.562,1418.475726563,9.848381825217e-10
1418476312.500,1418.476312500,1.393934874716e-09
1418476898.438,1418.476898438,9.365736536178e-10
1418477484.375,1418.477484375,7.720724986509e-10
1418478070.312,1418.478070312,7.676438225104e-10
1418478656.250,1418.478656250,8.355924435841e-10
1418479242.188,1418.479242187,8.552452116499e-10
1418479828.125,1418.479828125,8.497234272551e-10
1418480414.062,1418.480414062,9.126688007956e-10
1418481000.000,1418.481000000,8.513548160243e-10
1418481585.938,1418.481585938,7.812881778133e-10
1418482171.875,1418.482171875,7.883725872758e-10
1418482757.812,1418.482757813,9.915364441150e-10
1418483343.750,1418.483343750,1.326267379348e-09
1418483929.688,1418.483929687,9.430000407020e-10
1418484515.625,1418.484515625,7.532507110268e-10
1418485101.562,1418.485101562,1.119895509895e-09
1418485687.500,1418.485687500,1.561864857023e-09
1418486273.438,1418.486273437,8.848566136543e-10
1418486859.375,1418.486859375,7.971708004287e-10
1418487445.312,1418.487445313,7.895951577253e-10
1418488031.250,1418.488031250,8.220879405716e-10
1418488617.188,1418.488617188,8.176164039424e-10
1418489203.125,1418.489203125,1.028265930932e-09
1418489789.062,1418.489789062,1.019747427106e-09
1418490375.000,1418.490375000,9.605974679406e-10
1418490960.938,1418.490960937,8.453057884232e-10
1418491546.875,1418.491546875,7.823009573907e-10
1418492132.812,1418.492132812,8.814159140367e-10
1418492718.750,1418.492718750,8.883355800490e-10
1418493304.688,1418.493304688,8.026674204777e-10
1418493890.625,1418.493890625,8.248833964277e-10
1418494476.562,1418.494476563,7.921188176840e-10
1418495062.500,1418.495062500,7.551406997710e-10
1418495648.438,1418.495648437,7.792882803389e-10
1418496234.375,1418.496234375,8.841006989800e-10
1418496820.312,1418.496820312,9.534700614623e-10
1418497406.250,1418.497406250,9.886360545228e-10
1418497992.188,1418.497992187,1.122046805436e-09
1418498578.125,1418.498578125,1.006728828897e-09
1418499164.062,1418.499164063,8.247239832797e-10
1418499750.000,1418.499750000,8.805595188719e-10
1418500335.938,1418.500335938,8.988500801219e-10
1418500921.875,1418.500921875,1.908843242329e-09
1418501507.812,1418.501507812,2.537900657095e-09
1418502093.750,1418.502093750,1.040737593817e-09
1418502679.688,1418.502679687,9.213770657169e-10
1418503265.625,1418.503265625,8.829362220841e-10
1418503851.562,1418.503851562,8.469845890142e-10
1418504437.500,1418.504437500,9.640780060479e-10
1418505023.438,1418.505023438,1.133904569790e-09
1418505609.375,1418.505609375,9.589724588350e-10
1418506195.312,1418.506195313,9.668056027582e-10
1418506781.250,1418.506781250,9.629620785755e-10
1418507367.188,1418.507367187,9.430918030578e-10
1418507953.125,1418.507953125,1.229189014615e-09
1418508539.062,1418.508539062,1.443690544245e-09
1418509125.000,1418.509125000,9.874012120880e-10
1418509710.938,1418.509710937,8.075738345262e-10
1418510296.875,1418.510296875,8.236506996620e-10
1418510882.812,1418.510882813,8.805420754253e-10
1418511468.750,1418.511468750,9.502459135814e-10
1418512054.688,1418.512054688,1.073243086317e-09
1418512640.625,1418.512640625,9.611239320079e-10
1418513226.562,1418.513226562,9.047161834965e-10
1418513812.500,1418.513812500,9.869662244335e-10
1418514398.438,1418.514398437,9.548550053433e-10
1418514984.375,1418.514984375,9.349673916751e-10
1418515570.312,1418.515570312,9.378938914167e-10
1418516156.250,1418.516156250,8.604254353313e-10
1418516742.188,1418.516742188,8.459893800782e-10
1418517328.125,1418.517328125,1.261475748327e-09
1418517914.062,1418.517914063,1.808098141546e-09
1418518500.000,1418.518500000,1.044604383110e-09
1418519085.938,1418.519085937,9.083369025555e-10
1418519671.875,1418.519671875,8.771867521495e-10
1418520257.812,1418.520257812,1.036460578617e-09
1418520843.750,1418.520843750,2.121389364876e-09
1418521429.688,1418.521429687,1.583592595371e-09
1418522015.625,1418.522015625,9.685936635392e-10
1418522601.562,1418.522601563,9.782475570463e-10
1418523187.500,1418.523187500,1.093006322780e-09
1418523773.438,1418.523773438,1.089692886255e-09
1418524359.375,1418.524359375,1.061194431909e-09
