# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-07-20T19:36:16.103240+00:00"",""load_label"":""50ohm_termination"",""scan_index"":1,""scan_count"":20,""frequency_index"":2,""frequency_count"":5,""center_freq_hz"":1419605800,""settle_samples"":262144,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1418406000.000,1418.406000000,3.117688483194e-10
1418406585.938,1418.406585938,3.072978353711e-10
1418407171.875,1418.407171875,3.037262170879e-10
1418407757.812,1418.407757812,3.123344353012e-10
1418408343.750,1418.408343750,3.134024123167e-10
1418408929.688,1418.408929687,3.111338169557e-10
1418409515.625,1418.409515625,3.155862764008e-10
1418410101.562,1418.410101562,3.132284498095e-10
1418410687.500,1418.410687500,3.070726862563e-10
1418411273.438,1418.411273438,3.096846970379e-10
1418411859.375,1418.411859375,3.137593479947e-10
1418412445.312,1418.412445313,3.086639705754e-10
1418413031.250,1418.413031250,3.012852803644e-10
1418413617.188,1418.413617187,3.118252665204e-10
1418414203.125,1418.414203125,3.206393657463e-10
1418414789.062,1418.414789062,3.196282920775e-10
1418415375.000,1418.415375000,3.149510159993e-10
1418415960.938,1418.415960937,3.098006871414e-10
1418416546.875,1418.416546875,3.074773455620e-10
1418417132.812,1418.417132813,3.128707440546e-10
1418417718.750,1418.417718750,3.208943927670e-10
1418418304.688,1418.418304688,3.129232001672e-10
1418418890.625,1418.418890625,3.013492121770e-10
1418419476.562,1418.419476562,3.069447068009e-10
1418420062.500,1418.420062500,3.111423602136e-10
1418420648.438,1418.420648437,3.117358549675e-10
1418421234.375,1418.421234375,3.072611424062e-10
1418421820.312,1418.421820312,3.074261825338e-10
1418422406.250,1418.422406250,3.034876781092e-10
1418422992.188,1418.422992188,3.105570656839e-10
1418423578.125,1418.423578125,3.124247691708e-10
1418424164.062,1418.424164063,3.081681195086e-10
1418424750.000,1418.424750000,3.107783882388e-10
1418425335.938,1418.425335937,3.116838189692e-10
1418425921.875,1418.425921875,3.081782261216e-10
1418426507.812,1418.426507812,3.055260937738e-10
1418427093.750,1418.427093750,3.119140451980e-10
1418427679.688,1418.427679687,3.119343786816e-10
1418428265.625,1418.428265625,3.069947453478e-10
1418428851.562,1418.428851563,3.021343367656e-10
1418429437.500,1418.429437500,3.095436255866e-10
1418430023.438,1418.430023438,3.104232083032e-10
1418430609.375,1418.430609375,3.069935312266e-10
1418431195.312,1418.431195312,3.025104616641e-10
1418431781.250,1418.431781250,2.964916628991e-10
1418432367.188,1418.432367187,2.989578690509e-10
1418432953.125,1418.432953125,3.018022545830e-10
1418433539.062,1418.433539062,3.007539401565e-10
1418434125.000,1418.434125000,3.036353988316e-10
1418434710.938,1418.434710938,2.968747548448e-10
1418435296.875,1418.435296875,3.052536394298e-10
1418435882.812,1418.435882813,3.135995591678e-10
1418436468.750,1418.436468750,3.074892099102e-10
1418437054.688,1418.437054687,3.030051201075e-10
1418437640.625,1418.437640625,3.048981454053e-10
1418438226.562,1418.438226562,3.043884576185e-10
1418438812.500,1418.438812500,2.989184321068e-10
1418439398.438,1418.439398437,3.029612463391e-10
1418439984.375,1418.439984375,3.086167037662e-10
1418440570.312,1418.440570313,3.118599866239e-10
1418441156.250,1418.441156250,3.112067953268e-10
1418441742.188,1418.441742188,3.130843720881e-10
1418442328.125,1418.442328125,3.123595864236e-10
1418442914.062,1418.442914062,2.970314554409e-10
1418443500.000,1418.443500000,2.964661331655e-10
1418444085.938,1418.444085937,2.995358065106e-10
1418444671.875,1418.444671875,2.959403593077e-10
1418445257.812,1418.445257812,3.091434824058e-10
1418445843.750,1418.445843750,3.116758048034e-10
1418446429.688,1418.446429688,3.056009946035e-10
1418447015.625,1418.447015625,3.077714360236e-10
1418447601.562,1418.447601563,2.952256131620e-10
1418448187.500,1418.448187500,2.997266866196e-10
1418448773.438,1418.448773437,2.990630588083e-10
1418449359.375,1418.449359375,2.965593578077e-10
1418449945.312,1418.449945312,3.001321591375e-10
1418450531.250,1418.450531250,3.020927735810e-10
1418451117.188,1418.451117187,3.102541299881e-10
1418451703.125,1418.451703125,3.040256179323e-10
1418452289.062,1418.452289063,2.979391696656e-10
1418452875.000,1418.452875000,3.041789209515e-10
1418453460.938,1418.453460938,3.060975604396e-10
1418454046.875,1418.454046875,3.015689144082e-10
1418454632.812,1418.454632812,3.039032760964e-10
1418455218.750,1418.455218750,3.052439513035e-10
1418455804.688,1418.455804687,2.966828274589e-10
1418456390.625,1418.456390625,2.962509749457e-10
1418456976.562,1418.456976562,3.027184244893e-10
1418457562.500,1418.457562500,3.024758721496e-10
1418458148.438,1418.458148438,3.019566213870e-10
1418458734.375,1418.458734375,2.942679585841e-10
1418459320.312,1418.459320313,2.963823475469e-10
1418459906.250,1418.459906250,3.069405768196e-10
1418460492.188,1418.460492187,3.077093167489e-10
1418461078.125,1418.461078125,3.091032706669e-10
1418461664.062,1418.461664062,3.105018538084e-10
1418462250.000,1418.462250000,3.070901245973e-10
1418462835.938,1418.462835937,3.143020217790e-10
1418463421.875,1418.463421875,3.180551700711e-10
1418464007.812,1418.464007813,3.093464540410e-10
1418464593.750,1418.464593750,3.047531017396e-10
1418465179.688,1418.465179688,3.049304970899e-10
1418465765.625,1418.465765625,3.012656197294e-10
1418466351.562,1418.466351562,3.054612348503e-10
1418466937.500,1418.466937500,3.077046690159e-10
1418467523.438,1418.467523437,3.060354871072e-10
1418468109.375,1418.468109375,3.110874656661e-10
1418468695.312,1418.468695312,3.067558888117e-10
1418469281.250,1418.469281250,3.039757905505e-10
1418469867.188,1418.469867188,3.102125754119e-10
1418470453.125,1418.470453125,3.084237580641e-10
1418471039.062,1418.471039063,3.092849994676e-10
1418471625.000,1418.471625000,3.137614034846e-10
1418472210.938,1418.472210937,3.155047041581e-10
1418472796.875,1418.472796875,3.107851282944e-10
1418473382.812,1418.473382812,3.140759375771e-10
1418473968.750,1418.473968750,3.148503082378e-10
1418474554.688,1418.474554687,3.114999082184e-10
1418475140.625,1418.475140625,3.046683312280e-10
1418475726.562,1418.475726563,3.094352003128e-10
1418476312.500,1418.476312500,3.152411498773e-10
1418476898.438,1418.476898438,3.191789404222e-10
1418477484.375,1418.477484375,3.197463864107e-10
1418478070.312,1418.478070312,3.135105436840e-10
1418478656.250,1418.478656250,3.072708474807e-10
1418479242.188,1418.479242187,3.078529558460e-10
1418479828.125,1418.479828125,3.107098688093e-10
1418480414.062,1418.480414062,3.144439328335e-10
1418481000.000,1418.481000000,3.151379236613e-10
1418481585.938,1418.481585938,3.114118766906e-10
1418482171.875,1418.482171875,3.100967672869e-10
1418482757.812,1418.482757813,3.111964091710e-10
1418483343.750,1418.483343750,3.234613732910e-10
1418483929.688,1418.483929687,3.305691456089e-10
1418484515.625,1418.484515625,3.196175002456e-10
1418485101.562,1418.485101562,3.175234232037e-10
1418485687.500,1418.485687500,3.195004106545e-10
1418486273.438,1418.486273437,3.194897220076e-10
