# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-05-12T19:47:15.911582+00:00"",""target_name"":""galactic_plane"",""scan_index"":15,""scan_count"":20,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""center_freq_hz"":1420405800,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419206000.000,1419.206000000,4.963330535069e-10
1419206585.938,1419.206585937,4.994798262212e-10
1419207171.875,1419.207171875,5.127615418441e-10
1419207757.812,1419.207757812,4.941601835676e-10
1419208343.750,1419.208343750,4.954567698116e-10
1419208929.688,1419.208929687,5.117509138450e-10
1419209515.625,1419.209515625,5.170962327434e-10
1419210101.562,1419.210101563,5.269769938758e-10
1419210687.500,1419.210687500,5.319929274946e-10
1419211273.438,1419.211273438,5.402353695242e-10
1419211859.375,1419.211859375,5.346062965849e-10
1419212445.312,1419.212445312,5.429071606365e-10
1419213031.250,1419.213031250,5.608098311486e-10
1419213617.188,1419.213617187,5.468729049505e-10
1419214203.125,1419.214203125,5.476211729360e-10
1419214789.062,1419.214789062,5.425522113671e-10
1419215375.000,1419.215375000,5.510861130230e-10
1419215960.938,1419.215960938,5.332011191904e-10
1419216546.875,1419.216546875,5.325392779721e-10
1419217132.812,1419.217132813,5.420048755892e-10
1419217718.750,1419.217718750,5.384072464076e-10
1419218304.688,1419.218304687,5.263613152033e-10
1419218890.625,1419.218890625,5.080393327789e-10
1419219476.562,1419.219476562,4.922636380388e-10
1419220062.500,1419.220062500,4.791907241513e-10
1419220648.438,1419.220648437,4.911248758112e-10
1419221234.375,1419.221234375,4.898571312306e-10
1419221820.312,1419.221820313,4.813317404358e-10
1419222406.250,1419.222406250,4.734829859634e-10
1419222992.188,1419.222992188,4.857113407199e-10
1419223578.125,1419.223578125,4.967194990388e-10
1419224164.062,1419.224164062,4.860748337401e-10
1419224750.000,1419.224750000,4.934948964341e-10
1419225335.938,1419.225335937,5.050200302534e-10
1419225921.875,1419.225921875,4.930236040066e-10
1419226507.812,1419.226507812,5.337771435276e-10
1419227093.750,1419.227093750,5.465052967944e-10
1419227679.688,1419.227679688,5.321824400393e-10
1419228265.625,1419.228265625,5.345831100638e-10
1419228851.562,1419.228851563,5.343486622074e-10
1419229437.500,1419.229437500,5.419053207430e-10
1419230023.438,1419.230023437,5.516987414395e-10
1419230609.375,1419.230609375,5.607811847943e-10
1419231195.312,1419.231195312,5.409466151952e-10
1419231781.250,1419.231781250,5.261348156020e-10
1419232367.188,1419.232367187,5.075944372336e-10
1419232953.125,1419.232953125,4.990138964738e-10
1419233539.062,1419.233539063,4.851661183489e-10
1419234125.000,1419.234125000,5.023558990295e-10
1419234710.938,1419.234710938,4.931983801343e-10
1419235296.875,1419.235296875,4.789970344717e-10
1419235882.812,1419.235882812,4.739190252015e-10
1419236468.750,1419.236468750,4.815749043078e-10
1419237054.688,1419.237054687,4.676113909372e-10
1419237640.625,1419.237640625,4.705129541366e-10
1419238226.562,1419.238226562,4.782217351757e-10
1419238812.500,1419.238812500,4.747921449555e-10
1419239398.438,1419.239398438,4.827161373010e-10
1419239984.375,1419.239984375,4.905244008231e-10
1419240570.312,1419.240570313,5.031691773256e-10
1419241156.250,1419.241156250,5.001418051117e-10
1419241742.188,1419.241742187,5.030885833367e-10
1419242328.125,1419.242328125,5.097880460186e-10
1419242914.062,1419.242914062,5.255329471174e-10
1419243500.000,1419.243500000,5.313814001651e-10
1419244085.938,1419.244085937,5.205872168634e-10
1419244671.875,1419.244671875,5.203501799058e-10
1419245257.812,1419.245257813,5.213777457793e-10
1419245843.750,1419.245843750,5.198468994999e-10
1419246429.688,1419.246429688,5.203131640940e-10
1419247015.625,1419.247015625,5.175714296279e-10
1419247601.562,1419.247601562,5.068111724829e-10
1419248187.500,1419.248187500,5.014660014765e-10
1419248773.438,1419.248773437,5.008777829367e-10
1419249359.375,1419.249359375,4.773433510231e-10
1419249945.312,1419.249945312,4.574464224861e-10
1419250531.250,1419.250531250,4.624395351315e-10
1419251117.188,1419.251117188,4.738627227168e-10
1419251703.125,1419.251703125,4.708261119008e-10
1419252289.062,1419.252289063,4.663681291257e-10
1419252875.000,1419.252875000,4.736455624383e-10
1419253460.938,1419.253460937,4.681103596909e-10
1419254046.875,1419.254046875,4.663169929753e-10
1419254632.812,1419.254632812,4.794975623124e-10
1419255218.750,1419.255218750,4.963207103737e-10
1419255804.688,1419.255804687,5.006267072224e-10
1419256390.625,1419.256390625,5.124845155194e-10
1419256976.562,1419.256976563,5.318037352994e-10
1419257562.500,1419.257562500,5.279420950616e-10
1419258148.438,1419.258148438,5.213514131254e-10
1419258734.375,1419.258734375,5.304847601995e-10
1419259320.312,1419.259320312,5.210266263729e-10
1419259906.250,1419.259906250,5.178654753059e-10
1419260492.188,1419.260492187,5.357453737608e-10
1419261078.125,1419.261078125,5.252032384320e-10
1419261664.062,1419.261664062,5.063326092283e-10
1419262250.000,1419.262250000,4.901547224820e-10
1419262835.938,1419.262835938,4.932589991176e-10
1419263421.875,1419.263421875,5.028372229381e-10
1419264007.812,1419.264007813,4.843825696267e-10
1419264593.750,1419.264593750,4.644443458317e-10
1419265179.688,1419.265179687,4.576704033733e-10
1419265765.625,1419.265765625,4.732001127007e-10
1419266351.562,1419.266351562,4.690487485504e-10
1419266937.500,1419.266937500,4.711238684338e-10
1419267523.438,1419.267523437,4.800609888812e-10
1419268109.375,1419.268109375,4.882930822824e-10
1419268695.312,1419.268695313,4.883014391499e-10
1419269281.250,1419.269281250,4.800553661893e-10
1419269867.188,1419.269867188,4.704466142006e-10
1419270453.125,1419.270453125,4.849976458018e-10
1419271039.062,1419.271039062,5.050202736788e-10
1419271625.000,1419.271625000,5.137382050004e-10
1419272210.938,1419.272210937,5.221847187109e-10
1419272796.875,1419.272796875,5.269655635162e-10
1419273382.812,1419.273382812,5.162775606298e-10
1419273968.750,1419.273968750,5.182944484973e-10
1419274554.688,1419.274554688,5.248338407222e-10
1419275140.625,1419.275140625,5.138383313907e-10
1419275726.562,1419.275726563,5.174819569062e-10
