# metadata_json,"{""task"":""take_21cm_data"",""timestamp_utc"":""2026-05-12T19:54:09.515283+00:00"",""target_name"":""galactic_plane"",""scan_index"":68,""scan_count"":100,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""center_freq_hz"":1420405800,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419206000.000,1419.206000000,7.586537964288e-10
1419206585.938,1419.206585937,7.461023666304e-10
1419207171.875,1419.207171875,7.277428181521e-10
1419207757.812,1419.207757812,7.363107442763e-10
1419208343.750,1419.208343750,7.677971377983e-10
1419208929.688,1419.208929687,7.877115040054e-10
1419209515.625,1419.209515625,8.182807363978e-10
1419210101.562,1419.210101563,8.102520198508e-10
1419210687.500,1419.210687500,8.133688706174e-10
1419211273.438,1419.211273438,8.330559411524e-10
1419211859.375,1419.211859375,8.602141389588e-10
1419212445.312,1419.212445312,8.671573010845e-10
1419213031.250,1419.213031250,8.782277808976e-10
1419213617.188,1419.213617187,9.065064638463e-10
1419214203.125,1419.214203125,8.947187224797e-10
1419214789.062,1419.214789062,8.752419692083e-10
1419215375.000,1419.215375000,8.267022765550e-10
1419215960.938,1419.215960938,8.494216089132e-10
1419216546.875,1419.216546875,8.511683607620e-10
1419217132.812,1419.217132813,8.414553858517e-10
1419217718.750,1419.217718750,8.054609270955e-10
1419218304.688,1419.218304687,7.849163699313e-10
1419218890.625,1419.218890625,7.833068574253e-10
1419219476.562,1419.219476562,7.583377786835e-10
1419220062.500,1419.220062500,7.425392782117e-10
1419220648.438,1419.220648437,7.215872634156e-10
1419221234.375,1419.221234375,7.170946699890e-10
1419221820.312,1419.221820313,7.516941426205e-10
1419222406.250,1419.222406250,7.411287445490e-10
1419222992.188,1419.222992188,7.398972741759e-10
1419223578.125,1419.223578125,7.448393983542e-10
1419224164.062,1419.224164062,7.489789157853e-10
1419224750.000,1419.224750000,7.689672859643e-10
1419225335.938,1419.225335937,7.661649293798e-10
1419225921.875,1419.225921875,7.717315128580e-10
1419226507.812,1419.226507812,7.922620752552e-10
1419227093.750,1419.227093750,8.178473310704e-10
1419227679.688,1419.227679688,8.428749436261e-10
1419228265.625,1419.228265625,8.575082871369e-10
1419228851.562,1419.228851563,8.952252309958e-10
1419229437.500,1419.229437500,8.928496512127e-10
1419230023.438,1419.230023437,8.591104168468e-10
