# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-05-12T19:38:46.688632+00:00"",""load_label"":""50ohm_termination"",""scan_index"":7,""scan_count"":20,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""center_freq_hz"":1420405800,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419206000.000,1419.206000000,3.340300727092e-10
1419206585.938,1419.206585937,3.326875673655e-10
1419207171.875,1419.207171875,3.321045445058e-10
1419207757.812,1419.207757812,3.315477810700e-10
1419208343.750,1419.208343750,3.308214101511e-10
1419208929.688,1419.208929687,3.261886019485e-10
1419209515.625,1419.209515625,3.188133868936e-10
1419210101.562,1419.210101563,3.190289814882e-10
1419210687.500,1419.210687500,3.198887009764e-10
1419211273.438,1419.211273438,3.108785426152e-10
1419211859.375,1419.211859375,3.158402531958e-10
1419212445.312,1419.212445312,3.227620605646e-10
1419213031.250,1419.213031250,3.245911370775e-10
1419213617.188,1419.213617187,3.179971892650e-10
1419214203.125,1419.214203125,3.155214135962e-10
1419214789.062,1419.214789062,3.257745783574e-10
1419215375.000,1419.215375000,3.248005884002e-10
1419215960.938,1419.215960938,3.303178634702e-10
1419216546.875,1419.216546875,3.280985866623e-10
1419217132.812,1419.217132813,3.218677024074e-10
1419217718.750,1419.217718750,3.152292154595e-10
1419218304.688,1419.218304687,3.162053032379e-10
1419218890.625,1419.218890625,3.163050504430e-10
1419219476.562,1419.219476562,3.197025424908e-10
1419220062.500,1419.220062500,3.300639400105e-10
1419220648.438,1419.220648437,3.266315945304e-10
1419221234.375,1419.221234375,3.173373999270e-10
1419221820.312,1419.221820313,3.168330279256e-10
1419222406.250,1419.222406250,3.165110524217e-10
1419222992.188,1419.222992188,3.110195462628e-10
1419223578.125,1419.223578125,3.281127350890e-10
1419224164.062,1419.224164062,3.295113957500e-10
1419224750.000,1419.224750000,3.191174587946e-10
1419225335.938,1419.225335937,3.136120772468e-10
1419225921.875,1419.225921875,3.165711667192e-10
1419226507.812,1419.226507812,3.233734501639e-10
1419227093.750,1419.227093750,3.187946322262e-10
1419227679.688,1419.227679688,3.149137008223e-10
1419228265.625,1419.228265625,3.147006581039e-10
1419228851.562,1419.228851563,3.173195746221e-10
1419229437.500,1419.229437500,3.173140394848e-10
1419230023.438,1419.230023437,3.097648156344e-10
1419230609.375,1419.230609375,3.158563210605e-10
1419231195.312,1419.231195312,3.190902186430e-10
1419231781.250,1419.231781250,3.148723866728e-10
1419232367.188,1419.232367187,3.207755260618e-10
1419232953.125,1419.232953125,3.229204857483e-10
1419233539.062,1419.233539063,3.239527313532e-10
1419234125.000,1419.234125000,3.248903293853e-10
1419234710.938,1419.234710938,3.322074441252e-10
1419235296.875,1419.235296875,3.176425480860e-10
1419235882.812,1419.235882812,3.158348218428e-10
1419236468.750,1419.236468750,3.245471712177e-10
1419237054.688,1419.237054687,3.180021061878e-10
1419237640.625,1419.237640625,3.135770204006e-10
1419238226.562,1419.238226562,3.143915744213e-10
1419238812.500,1419.238812500,3.112387380960e-10
1419239398.438,1419.239398438,3.087049718382e-10
1419239984.375,1419.239984375,3.087520481176e-10
1419240570.312,1419.240570313,3.034714286163e-10
1419241156.250,1419.241156250,3.118693087324e-10
1419241742.188,1419.241742187,3.107103238561e-10
1419242328.125,1419.242328125,3.091322915760e-10
1419242914.062,1419.242914062,3.128871509571e-10
1419243500.000,1419.243500000,3.186912660515e-10
1419244085.938,1419.244085937,3.143525398563e-10
1419244671.875,1419.244671875,3.082996858087e-10
1419245257.812,1419.245257813,3.169688672801e-10
1419245843.750,1419.245843750,3.144822294806e-10
1419246429.688,1419.246429688,3.180109671550e-10
1419247015.625,1419.247015625,3.210872652691e-10
1419247601.562,1419.247601562,3.135993586217e-10
1419248187.500,1419.248187500,3.222812566485e-10
1419248773.438,1419.248773437,3.218340015125e-10
1419249359.375,1419.249359375,3.131148238718e-10
1419249945.312,1419.249945312,3.121415070757e-10
1419250531.250,1419.250531250,3.119854163805e-10
1419251117.188,1419.251117188,3.141569571965e-10
1419251703.125,1419.251703125,3.148953641929e-10
1419252289.062,1419.252289063,3.138541741018e-10
1419252875.000,1419.252875000,3.154245903071e-10
1419253460.938,1419.253460937,3.163144967408e-10
1419254046.875,1419.254046875,3.109704267513e-10
1419254632.812,1419.254632812,3.105169472251e-10
1419255218.750,1419.255218750,3.199559549957e-10
1419255804.688,1419.255804687,3.193426845985e-10
1419256390.625,1419.256390625,3.198266403946e-10
1419256976.562,1419.256976563,3.156762608686e-10
1419257562.500,1419.257562500,3.175804155024e-10
1419258148.438,1419.258148438,3.200884854249e-10
1419258734.375,1419.258734375,3.231938448271e-10
1419259320.312,1419.259320312,3.139258681686e-10
1419259906.250,1419.259906250,3.174821673391e-10
1419260492.188,1419.260492187,3.057083081652e-10
1419261078.125,1419.261078125,3.045217730071e-10
1419261664.062,1419.261664062,3.053986176627e-10
1419262250.000,1419.262250000,3.248301252903e-10
1419262835.938,1419.262835938,3.243967285202e-10
1419263421.875,1419.263421875,3.202161892241e-10
1419264007.812,1419.264007813,3.151146484249e-10
1419264593.750,1419.264593750,3.197764662510e-10
1419265179.688,1419.265179687,3.196556989635e-10
1419265765.625,1419.265765625,3.107755222647e-10
1419266351.562,1419.266351562,3.090145870704e-10
1419266937.500,1419.266937500,3.225733225368e-10
1419267523.438,1419.267523437,3.268703004023e-10
1419268109.375,1419.268109375,3.200404441848e-10
1419268695.312,1419.268695313,3.216357767904e-10
1419269281.250,1419.269281250,3.232676476079e-10
1419269867.188,1419.269867188,3.181773488310e-10
1419270453.125,1419.270453125,3.170211570169e-10
1419271039.062,1419.271039062,3.226992150876e-10
1419271625.000,1419.271625000,3.198054690938e-10
1419272210.938,1419.272210937,3.179717020077e-10
1419272796.875,1419.272796875,3.244419358938e-10
1419273382.812,1419.273382812,3.271179105494e-10
1419273968.750,1419.273968750,3.313257933088e-10
1419274554.688,1419.274554688,3.267204120239e-10
1419275140.625,1419.275140625,3.262716217784e-10
1419275726.562,1419.275726563,3.267241784036e-10
1419276312.500,1419.276312500,3.198869382736e-10
1419276898.438,1419.276898437,3.170826625482e-10
1419277484.375,1419.277484375,3.282982785417e-10
1419278070.312,1419.278070312,3.252165787455e-10
1419278656.250,1419.278656250,3.247176671087e-10
1419279242.188,1419.279242187,3.275802034615e-10
1419279828.125,1419.279828125,3.303618561982e-10
1419280414.062,1419.280414063,3.269422081272e-10
1419281000.000,1419.281000000,3.285908465262e-10
1419281585.938,1419.281585938,3.332500352846e-10
1419282171.875,1419.282171875,3.347387650904e-10
1419282757.812,1419.282757812,3.340641100987e-10
1419283343.750,1419.283343750,3.266181909564e-10
1419283929.688,1419.283929687,3.261449000257e-10
1419284515.625,1419.284515625,3.318613510919e-10
1419285101.562,1419.285101562,3.337100947436e-10
1419285687.500,1419.285687500,3.358146620546e-10
1419286273.438,1419.286273438,3.349618263216e-10
1419286859.375,1419.286859375,3.259042885670e-10
1419287445.312,1419.287445313,3.331992664001e-10
1419288031.250,1419.288031250,3.355376433046e-10
1419288617.188,1419.288617187,3.294884326686e-10
1419289203.125,1419.289203125,3.335511621859e-10
1419289789.062,1419.289789062,3.287994226540e-10
1419290375.000,1419.290375000,3.309205464222e-10
1419290960.938,1419.290960937,3.302670920976e-10
1419291546.875,1419.291546875,3.357323181571e-10
1419292132.812,1419.292132813,3.420622162373e-10
1419292718.750,1419.292718750,3.421309143953e-10
1419293304.688,1419.293304688,3.445818546397e-10
1419293890.625,1419.293890625,3.376908067723e-10
1419294476.562,1419.294476562,3.422770876763e-10
1419295062.500,1419.295062500,3.455864188438e-10
1419295648.438,1419.295648437,3.366094976606e-10
1419296234.375,1419.296234375,3.291356197926e-10
1419296820.312,1419.296820312,3.309887445110e-10
1419297406.250,1419.297406250,3.466917807364e-10
1419297992.188,1419.297992188,3.543745125095e-10
1419298578.125,1419.298578125,3.438133307578e-10
1419299164.062,1419.299164063,3.360545826245e-10
1419299750.000,1419.299750000,3.422306463085e-10
1419300335.938,1419.300335937,3.451404728079e-10
1419300921.875,1419.300921875,3.419645493040e-10
1419301507.812,1419.301507812,3.459964028709e-10
1419302093.750,1419.302093750,3.514545323656e-10
1419302679.688,1419.302679687,3.523273300171e-10
1419303265.625,1419.303265625,3.520984051865e-10
1419303851.562,1419.303851563,3.583214208562e-10
1419304437.500,1419.304437500,3.599415134265e-10
1419305023.438,1419.305023438,3.656979155913e-10
1419305609.375,1419.305609375,3.714754980900e-10
1419306195.312,1419.306195312,3.611082179303e-10
1419306781.250,1419.306781250,3.632602327217e-10
1419307367.188,1419.307367187,3.726161948124e-10
1419307953.125,1419.307953125,3.604863835879e-10
1419308539.062,1419.308539062,3.638006969292e-10
1419309125.000,1419.309125000,3.624057047045e-10
1419309710.938,1419.309710938,3.640041088427e-10
1419310296.875,1419.310296875,3.666446942550e-10
1419310882.812,1419.310882813,3.670224677016e-10
1419311468.750,1419.311468750,3.554871423838e-10
1419312054.688,1419.312054687,3.615712234273e-10
1419312640.625,1419.312640625,3.650429776836e-10
1419313226.562,1419.313226562,3.738540933994e-10
1419313812.500,1419.313812500,3.715649164989e-10
1419314398.438,1419.314398437,3.695495178427e-10
1419314984.375,1419.314984375,3.730844260153e-10
1419315570.312,1419.315570313,3.689155119592e-10
1419316156.250,1419.316156250,3.720523930069e-10
1419316742.188,1419.316742188,3.736460798067e-10
1419317328.125,1419.317328125,3.766564905354e-10
1419317914.062,1419.317914062,3.757553009801e-10
1419318500.000,1419.318500000,3.742137465267e-10
1419319085.938,1419.319085937,3.703577957509e-10
1419319671.875,1419.319671875,3.738926461490e-10
1419320257.812,1419.320257812,3.871026464950e-10
1419320843.750,1419.320843750,3.824229880735e-10
1419321429.688,1419.321429688,3.827792412202e-10
1419322015.625,1419.322015625,3.857900888217e-10
1419322601.562,1419.322601563,3.786388972494e-10
1419323187.500,1419.323187500,3.775902302374e-10
1419323773.438,1419.323773437,3.772101385869e-10
1419324359.375,1419.324359375,3.779910978182e-10
1419324945.312,1419.324945312,3.816424910186e-10
1419325531.250,1419.325531250,3.801188147536e-10
1419326117.188,1419.326117187,3.750603214015e-10
1419326703.125,1419.326703125,3.773774700376e-10
1419327289.062,1419.327289063,3.877347344636e-10
1419327875.000,1419.327875000,3.962073850029e-10
1419328460.938,1419.328460938,3.869431441317e-10
1419329046.875,1419.329046875,3.854189719984e-10
1419329632.812,1419.329632812,3.939423564015e-10
1419330218.750,1419.330218750,4.012069853509e-10
1419330804.688,1419.330804687,3.929581252254e-10
1419331390.625,1419.331390625,3.942951600242e-10
1419331976.562,1419.331976562,4.023604496065e-10
1419332562.500,1419.332562500,4.053353649190e-10
1419333148.438,1419.333148438,3.984105516355e-10
1419333734.375,1419.333734375,4.076717007381e-10
1419334320.312,1419.334320313,3.952104856769e-10
1419334906.250,1419.334906250,3.977751621065e-10
1419335492.188,1419.335492187,4.091925367011e-10
1419336078.125,1419.336078125,4.119545623470e-10
1419336664.062,1419.336664062,4.132842429642e-10
1419337250.000,1419.337250000,4.193228107720e-10
1419337835.938,1419.337835937,4.225932964890e-10
1419338421.875,1419.338421875,4.217751421467e-10
1419339007.812,1419.339007813,4.175359028534e-10
1419339593.750,1419.339593750,4.206661860909e-10
1419340179.688,1419.340179688,4.171210786761e-10
1419340765.625,1419.340765625,4.228116703655e-10
1419341351.562,1419.341351562,4.180828744185e-10
1419341937.500,1419.341937500,4.157487678864e-10
1419342523.438,1419.342523437,4.163862210113e-10
1419343109.375,1419.343109375,4.201902731610e-10
1419343695.312,1419.343695312,4.198405202555e-10
1419344281.250,1419.344281250,4.219986977113e-10
1419344867.188,1419.344867188,4.275660538564e-10
1419345453.125,1419.345453125,4.300074149557e-10
1419346039.062,1419.346039063,4.311242600750e-10
1419346625.000,1419.346625000,4.259460694674e-10
1419347210.938,1419.347210937,4.194473754377e-10
1419347796.875,1419.347796875,4.220203984134e-10
1419348382.812,1419.348382812,4.283327412574e-10
1419348968.750,1419.348968750,4.310201762508e-10
1419349554.688,1419.349554687,4.366566262132e-10
1419350140.625,1419.350140625,4.451431914611e-10
1419350726.562,1419.350726563,4.441377743541e-10
1419351312.500,1419.351312500,4.456213523603e-10
1419351898.438,1419.351898438,4.399626416972e-10
1419352484.375,1419.352484375,4.293696746525e-10
1419353070.312,1419.353070312,4.354557327856e-10
1419353656.250,1419.353656250,4.462977306737e-10
1419354242.188,1419.354242187,4.537914942207e-10
1419354828.125,1419.354828125,4.543036965589e-10
1419355414.062,1419.355414062,4.564903418516e-10
1419356000.000,1419.356000000,4.532923678710e-10
1419356585.938,1419.356585938,4.524951344067e-10
1419357171.875,1419.357171875,4.527712453151e-10
1419357757.812,1419.357757813,4.624464493600e-10
1419358343.750,1419.358343750,4.554399238436e-10
1419358929.688,1419.358929687,4.604766196696e-10
1419359515.625,1419.359515625,4.511244356375e-10
1419360101.562,1419.360101562,4.537102626260e-10
1419360687.500,1419.360687500,4.735661876329e-10
1419361273.438,1419.361273437,4.713159269236e-10
1419361859.375,1419.361859375,4.805898101251e-10
1419362445.312,1419.362445313,4.658342642871e-10
1419363031.250,1419.363031250,4.625837716725e-10
1419363617.188,1419.363617188,4.645743042432e-10
1419364203.125,1419.364203125,4.662777536798e-10
1419364789.062,1419.364789062,4.704810639049e-10
1419365375.000,1419.365375000,4.772278987027e-10
1419365960.938,1419.365960937,4.909958529612e-10
1419366546.875,1419.366546875,4.916399693775e-10
1419367132.812,1419.367132812,4.889177712533e-10
1419367718.750,1419.367718750,4.965647253113e-10
1419368304.688,1419.368304688,4.976326848827e-10
1419368890.625,1419.368890625,4.951006371135e-10
1419369476.562,1419.369476563,4.942421967841e-10
1419370062.500,1419.370062500,4.875582184954e-10
1419370648.438,1419.370648437,4.860250637726e-10
1419371234.375,1419.371234375,4.907435803254e-10
1419371820.312,1419.371820312,4.962703132957e-10
1419372406.250,1419.372406250,4.838482686806e-10
1419372992.188,1419.372992187,4.880498332222e-10
1419373578.125,1419.373578125,5.011293962276e-10
1419374164.062,1419.374164063,4.971739634515e-10
1419374750.000,1419.374750000,4.998554636629e-10
1419375335.938,1419.375335938,5.022583514648e-10
1419375921.875,1419.375921875,5.129778123213e-10
1419376507.812,1419.376507812,5.203799446239e-10
