# metadata_json,"{""task"":""take_50ohm_data"",""timestamp_utc"":""2026-05-12T20:13:55.098487+00:00"",""load_label"":""50ohm_termination"",""scan_index"":19,""scan_count"":20,""num_integrations"":30,""iterations"":30,""sdr"":{""sample_rate_hz"":2400000,""center_freq_hz"":1420705800,""gain_db"":36.4,""bias_t"":true}}"
frequency_hz,frequency_mhz,psd_linear_per_hz
1419506000.000,1419.506000000,3.164626033959e-10
1419506585.938,1419.506585937,3.215752277556e-10
1419507171.875,1419.507171875,3.187503273783e-10
1419507757.812,1419.507757812,3.122493496645e-10
1419508343.750,1419.508343750,3.121700718503e-10
1419508929.688,1419.508929688,3.098303603585e-10
1419509515.625,1419.509515625,3.059468329122e-10
1419510101.562,1419.510101563,3.061269558527e-10
1419510687.500,1419.510687500,3.100351720586e-10
1419511273.438,1419.511273437,3.103519033576e-10
1419511859.375,1419.511859375,3.149003926275e-10
1419512445.312,1419.512445312,3.121013975663e-10
1419513031.250,1419.513031250,3.065947960013e-10
1419513617.188,1419.513617187,3.083807091361e-10
1419514203.125,1419.514203125,3.117791063698e-10
1419514789.062,1419.514789063,3.124285326886e-10
1419515375.000,1419.515375000,3.141999376134e-10
1419515960.938,1419.515960938,3.058071907876e-10
1419516546.875,1419.516546875,3.022671453469e-10
1419517132.812,1419.517132812,3.025596000766e-10
1419517718.750,1419.517718750,2.975421476820e-10
1419518304.688,1419.518304687,2.988751034794e-10
1419518890.625,1419.518890625,2.960369069248e-10
1419519476.562,1419.519476562,3.032055337783e-10
1419520062.500,1419.520062500,3.038702727448e-10
1419520648.438,1419.520648438,2.959996614332e-10
1419521234.375,1419.521234375,3.008663038020e-10
1419521820.312,1419.521820313,3.040968443362e-10
1419522406.250,1419.522406250,3.070374643710e-10
1419522992.188,1419.522992187,3.067020502533e-10
1419523578.125,1419.523578125,3.012048721162e-10
1419524164.062,1419.524164062,3.010607123435e-10
1419524750.000,1419.524750000,3.052846488165e-10
1419525335.938,1419.525335937,3.028316501251e-10
1419525921.875,1419.525921875,2.979217386658e-10
1419526507.812,1419.526507813,2.948658406595e-10
1419527093.750,1419.527093750,3.002577647065e-10
1419527679.688,1419.527679688,2.947608260312e-10
1419528265.625,1419.528265625,2.984605145134e-10
1419528851.562,1419.528851562,3.033858934453e-10
1419529437.500,1419.529437500,3.041135130261e-10
1419530023.438,1419.530023437,2.988208971201e-10
1419530609.375,1419.530609375,3.059569829565e-10
1419531195.312,1419.531195312,3.044852191025e-10
1419531781.250,1419.531781250,3.009365489837e-10
1419532367.188,1419.532367188,3.020555300868e-10
1419532953.125,1419.532953125,2.944005136588e-10
1419533539.062,1419.533539063,3.008869818046e-10
1419534125.000,1419.534125000,3.107182860230e-10
1419534710.938,1419.534710937,3.039017934986e-10
1419535296.875,1419.535296875,2.973504213288e-10
1419535882.812,1419.535882812,3.042994321419e-10
1419536468.750,1419.536468750,3.008533403839e-10
1419537054.688,1419.537054687,3.006903251318e-10
1419537640.625,1419.537640625,3.044363963235e-10
1419538226.562,1419.538226563,2.916881514476e-10
1419538812.500,1419.538812500,2.905546104269e-10
1419539398.438,1419.539398438,2.984885396004e-10
1419539984.375,1419.539984375,3.016977196878e-10
1419540570.312,1419.540570312,2.958602887012e-10
1419541156.250,1419.541156250,2.990551030237e-10
1419541742.188,1419.541742187,3.018860140901e-10
1419542328.125,1419.542328125,3.077365019420e-10
1419542914.062,1419.542914062,3.019220622789e-10
1419543500.000,1419.543500000,2.996735769318e-10
1419544085.938,1419.544085938,2.941202786753e-10
1419544671.875,1419.544671875,2.948032861904e-10
1419545257.812,1419.545257813,2.946342981573e-10
1419545843.750,1419.545843750,2.956079468164e-10
1419546429.688,1419.546429687,2.997280938839e-10
1419547015.625,1419.547015625,3.012938176792e-10
1419547601.562,1419.547601562,2.926574012450e-10
1419548187.500,1419.548187500,2.950288408815e-10
1419548773.438,1419.548773437,2.950391800484e-10
1419549359.375,1419.549359375,3.007233265259e-10
1419549945.312,1419.549945313,3.042293906378e-10
1419550531.250,1419.550531250,3.001662667189e-10
1419551117.188,1419.551117188,3.056044596863e-10
1419551703.125,1419.551703125,2.977022181483e-10
1419552289.062,1419.552289062,3.025375093711e-10
1419552875.000,1419.552875000,3.008003089841e-10
1419553460.938,1419.553460937,3.036375115108e-10
1419554046.875,1419.554046875,3.002617378775e-10
1419554632.812,1419.554632812,3.020933376794e-10
1419555218.750,1419.555218750,3.003818618174e-10
1419555804.688,1419.555804688,3.011620566579e-10
1419556390.625,1419.556390625,3.008697993191e-10
1419556976.562,1419.556976563,2.947445011223e-10
1419557562.500,1419.557562500,2.961576986193e-10
1419558148.438,1419.558148437,3.048718783885e-10
1419558734.375,1419.558734375,3.135468258447e-10
1419559320.312,1419.559320312,3.136573907735e-10
1419559906.250,1419.559906250,3.066728110482e-10
1419560492.188,1419.560492187,3.071239256025e-10
1419561078.125,1419.561078125,3.000808387654e-10
1419561664.062,1419.561664063,3.000549128374e-10
1419562250.000,1419.562250000,3.093814924794e-10
1419562835.938,1419.562835938,2.983970393625e-10
1419563421.875,1419.563421875,2.962030266835e-10
1419564007.812,1419.564007812,3.106095092562e-10
1419564593.750,1419.564593750,3.128058306727e-10
1419565179.688,1419.565179687,3.018239002763e-10
1419565765.625,1419.565765625,3.048029041376e-10
1419566351.562,1419.566351562,3.129427359230e-10
1419566937.500,1419.566937500,3.083344435422e-10
1419567523.438,1419.567523438,3.026933517499e-10
1419568109.375,1419.568109375,2.986361397212e-10
1419568695.312,1419.568695313,3.030722754851e-10
1419569281.250,1419.569281250,3.004793382453e-10
1419569867.188,1419.569867187,3.037708852133e-10
1419570453.125,1419.570453125,3.086775279727e-10
1419571039.062,1419.571039062,2.998025230184e-10
1419571625.000,1419.571625000,3.121924654581e-10
1419572210.938,1419.572210937,3.066289778960e-10
1419572796.875,1419.572796875,3.018850251359e-10
1419573382.812,1419.573382813,3.060876498131e-10
1419573968.750,1419.573968750,3.120264473039e-10
1419574554.688,1419.574554688,3.095967153869e-10
1419575140.625,1419.575140625,3.091633604299e-10
1419575726.562,1419.575726562,3.124137527981e-10
1419576312.500,1419.576312500,3.178537580925e-10
1419576898.438,1419.576898437,3.178145273736e-10
1419577484.375,1419.577484375,3.110853173354e-10
1419578070.312,1419.578070312,3.050219098402e-10
1419578656.250,1419.578656250,3.128626803430e-10
1419579242.188,1419.579242188,3.108995988639e-10
1419579828.125,1419.579828125,3.123914268010e-10
1419580414.062,1419.580414063,3.140943752203e-10
1419581000.000,1419.581000000,3.036492528029e-10
1419581585.938,1419.581585937,3.111472823640e-10
1419582171.875,1419.582171875,3.090175330279e-10
1419582757.812,1419.582757812,3.098445640136e-10
1419583343.750,1419.583343750,3.179950280163e-10
1419583929.688,1419.583929687,3.137237759107e-10
1419584515.625,1419.584515625,3.159579862393e-10
1419585101.562,1419.585101563,3.211090567949e-10
1419585687.500,1419.585687500,3.158349015312e-10
1419586273.438,1419.586273438,3.100181458539e-10
1419586859.375,1419.586859375,3.164033818777e-10
1419587445.312,1419.587445312,3.204162301703e-10
1419588031.250,1419.588031250,3.141895278220e-10
1419588617.188,1419.588617187,3.173613876653e-10
1419589203.125,1419.589203125,3.186238570201e-10
1419589789.062,1419.589789062,3.233397602568e-10
1419590375.000,1419.590375000,3.228920121750e-10
1419590960.938,1419.590960938,3.121796297042e-10
1419591546.875,1419.591546875,3.202858894343e-10
1419592132.812,1419.592132813,3.249565445944e-10
1419592718.750,1419.592718750,3.226322399195e-10
1419593304.688,1419.593304687,3.212395249679e-10
1419593890.625,1419.593890625,3.275772255277e-10
1419594476.562,1419.594476562,3.327621268207e-10
1419595062.500,1419.595062500,3.307172590142e-10
1419595648.438,1419.595648437,3.309714019014e-10
1419596234.375,1419.596234375,3.211634009651e-10
1419596820.312,1419.596820313,3.135160494633e-10
1419597406.250,1419.597406250,3.233115829105e-10
1419597992.188,1419.597992188,3.349388205034e-10
1419598578.125,1419.598578125,3.343872948825e-10
1419599164.062,1419.599164062,3.341805593413e-10
1419599750.000,1419.599750000,3.336186667129e-10
1419600335.938,1419.600335937,3.361872626368e-10
1419600921.875,1419.600921875,3.345295137001e-10
1419601507.812,1419.601507812,3.367048630810e-10
1419602093.750,1419.602093750,3.329648724661e-10
1419602679.688,1419.602679688,3.268552336983e-10
1419603265.625,1419.603265625,3.277688052572e-10
1419603851.562,1419.603851563,3.274332857117e-10
1419604437.500,1419.604437500,3.270941200989e-10
1419605023.438,1419.605023437,3.420285162210e-10
1419605609.375,1419.605609375,3.439425255547e-10
1419606195.312,1419.606195312,3.422463217166e-10
1419606781.250,1419.606781250,3.339301748657e-10
1419607367.188,1419.607367187,3.343891306615e-10
1419607953.125,1419.607953125,3.425823364997e-10
1419608539.062,1419.608539063,3.453508048480e-10
1419609125.000,1419.609125000,3.423360302152e-10
1419609710.938,1419.609710938,3.387647451630e-10
1419610296.875,1419.610296875,3.420622662526e-10
1419610882.812,1419.610882812,3.501042061543e-10
1419611468.750,1419.611468750,3.544937253129e-10
1419612054.688,1419.612054687,3.479916273162e-10
1419612640.625,1419.612640625,3.436668621153e-10
1419613226.562,1419.613226562,3.454273551332e-10
1419613812.500,1419.613812500,3.583006900133e-10
1419614398.438,1419.614398438,3.577015186644e-10
1419614984.375,1419.614984375,3.528260899279e-10
1419615570.312,1419.615570313,3.528588502853e-10
1419616156.250,1419.616156250,3.657962304741e-10
1419616742.188,1419.616742187,3.572056589424e-10
1419617328.125,1419.617328125,3.526260979378e-10
1419617914.062,1419.617914062,3.645575677111e-10
1419618500.000,1419.618500000,3.741355978928e-10
1419619085.938,1419.619085937,3.601315345381e-10
1419619671.875,1419.619671875,3.626097079793e-10
1419620257.812,1419.620257813,3.612740179384e-10
1419620843.750,1419.620843750,3.598001204301e-10
1419621429.688,1419.621429688,3.608875028059e-10
1419622015.625,1419.622015625,3.623445994702e-10
1419622601.562,1419.622601562,3.619252415058e-10
1419623187.500,1419.623187500,3.569469313434e-10
1419623773.438,1419.623773437,3.612842386598e-10
1419624359.375,1419.624359375,3.726419572407e-10
1419624945.312,1419.624945312,3.783223985008e-10
1419625531.250,1419.625531250,3.815076703192e-10
1419626117.188,1419.626117188,3.776635888449e-10
1419626703.125,1419.626703125,3.736999373475e-10
1419627289.062,1419.627289063,3.677164829085e-10
1419627875.000,1419.627875000,3.791234776956e-10
1419628460.938,1419.628460937,3.789341622797e-10
1419629046.875,1419.629046875,3.777834930764e-10
1419629632.812,1419.629632812,3.720058133485e-10
1419630218.750,1419.630218750,3.724305936661e-10
1419630804.688,1419.630804687,3.732865587167e-10
1419631390.625,1419.631390625,3.717064213802e-10
1419631976.562,1419.631976563,3.754325605775e-10
1419632562.500,1419.632562500,3.858780583293e-10
1419633148.438,1419.633148438,3.881067681323e-10
1419633734.375,1419.633734375,3.864086905903e-10
1419634320.312,1419.634320312,3.878212442928e-10
1419634906.250,1419.634906250,3.878183868314e-10
1419635492.188,1419.635492187,3.852265378917e-10
1419636078.125,1419.636078125,3.855577827096e-10
1419636664.062,1419.636664062,3.966002973458e-10
1419637250.000,1419.637250000,3.936864561441e-10
1419637835.938,1419.637835938,3.914976345798e-10
1419638421.875,1419.638421875,3.957439093257e-10
1419639007.812,1419.639007813,4.026658872163e-10
1419639593.750,1419.639593750,3.996682139756e-10
1419640179.688,1419.640179687,4.041748687899e-10
1419640765.625,1419.640765625,4.034398382454e-10
1419641351.562,1419.641351562,3.965033237247e-10
1419641937.500,1419.641937500,4.057980196874e-10
1419642523.438,1419.642523437,4.069829613309e-10
1419643109.375,1419.643109375,4.115423203952e-10
1419643695.312,1419.643695313,4.162169298570e-10
1419644281.250,1419.644281250,4.075444548106e-10
1419644867.188,1419.644867188,4.147337943403e-10
1419645453.125,1419.645453125,4.140833176950e-10
1419646039.062,1419.646039062,4.162146123276e-10
1419646625.000,1419.646625000,4.152110763286e-10
1419647210.938,1419.647210937,4.196349245507e-10
1419647796.875,1419.647796875,4.087743105007e-10
1419648382.812,1419.648382812,4.090297079131e-10
1419648968.750,1419.648968750,4.085916552810e-10
1419649554.688,1419.649554688,4.217978279222e-10
1419650140.625,1419.650140625,4.326851413479e-10
1419650726.562,1419.650726563,4.380295470616e-10
1419651312.500,1419.651312500,4.347339964971e-10
1419651898.438,1419.651898437,4.291076357769e-10
1419652484.375,1419.652484375,4.248059744367e-10
1419653070.312,1419.653070312,4.229825949142e-10
1419653656.250,1419.653656250,4.129080959624e-10
1419654242.188,1419.654242187,4.272589038285e-10
1419654828.125,1419.654828125,4.327414785176e-10
1419655414.062,1419.655414063,4.301125115609e-10
1419656000.000,1419.656000000,4.360709223759e-10
1419656585.938,1419.656585938,4.353171320387e-10
1419657171.875,1419.657171875,4.370306478832e-10
1419657757.812,1419.657757812,4.386232212672e-10
1419658343.750,1419.658343750,4.373044256674e-10
1419658929.688,1419.658929687,4.319806717310e-10
1419659515.625,1419.659515625,4.245583626688e-10
1419660101.562,1419.660101562,4.298779774445e-10
1419660687.500,1419.660687500,4.407380978981e-10
1419661273.438,1419.661273438,4.414092844262e-10
1419661859.375,1419.661859375,4.438235651153e-10
1419662445.312,1419.662445313,4.498087786221e-10
1419663031.250,1419.663031250,4.508425579531e-10
1419663617.188,1419.663617187,4.517514221539e-10
1419664203.125,1419.664203125,4.536664219418e-10
1419664789.062,1419.664789062,4.515600090261e-10
1419665375.000,1419.665375000,4.532267614584e-10
1419665960.938,1419.665960937,4.594656070699e-10
1419666546.875,1419.666546875,4.545000981565e-10
1419667132.812,1419.667132813,4.554123312054e-10
1419667718.750,1419.667718750,4.690634013495e-10
1419668304.688,1419.668304688,4.707231714581e-10
1419668890.625,1419.668890625,4.612398815086e-10
1419669476.562,1419.669476562,4.729809016861e-10
1419670062.500,1419.670062500,4.830689713203e-10
1419670648.438,1419.670648437,4.715312738527e-10
1419671234.375,1419.671234375,4.815440227835e-10
1419671820.312,1419.671820312,4.819134627210e-10
1419672406.250,1419.672406250,4.842661888112e-10
1419672992.188,1419.672992188,4.876867045714e-10
1419673578.125,1419.673578125,4.885294510892e-10
1419674164.062,1419.674164063,4.803608569780e-10
1419674750.000,1419.674750000,4.792518650478e-10
1419675335.938,1419.675335937,4.757795700043e-10
1419675921.875,1419.675921875,4.656944008083e-10
1419676507.812,1419.676507812,4.665854862197e-10
1419677093.750,1419.677093750,4.689662998616e-10
1419677679.688,1419.677679687,4.747643721242e-10
1419678265.625,1419.678265625,4.857054562400e-10
1419678851.562,1419.678851563,4.908083065136e-10
1419679437.500,1419.679437500,4.864075169210e-10
1419680023.438,1419.680023438,4.930295563631e-10
1419680609.375,1419.680609375,5.019673547481e-10
1419681195.312,1419.681195312,5.045757049222e-10
1419681781.250,1419.681781250,5.003562216471e-10
1419682367.188,1419.682367187,5.001392900745e-10
1419682953.125,1419.682953125,5.022605268781e-10
1419683539.062,1419.683539062,4.960851824422e-10
1419684125.000,1419.684125000,5.028833093968e-10
1419684710.938,1419.684710938,4.939987197291e-10
1419685296.875,1419.685296875,5.014195496980e-10
1419685882.812,1419.685882813,5.087626587762e-10
1419686468.750,1419.686468750,4.943329801228e-10
1419687054.688,1419.687054687,5.027113445782e-10
1419687640.625,1419.687640625,4.995626633361e-10
1419688226.562,1419.688226562,5.058500892000e-10
1419688812.500,1419.688812500,5.227234279465e-10
1419689398.438,1419.689398437,5.294636946706e-10
1419689984.375,1419.689984375,5.191764668574e-10
1419690570.312,1419.690570313,5.143267501749e-10
1419691156.250,1419.691156250,5.137426709673e-10
1419691742.188,1419.691742188,5.148928161106e-10
1419692328.125,1419.692328125,5.234781928833e-10
1419692914.062,1419.692914062,5.364576170324e-10
1419693500.000,1419.693500000,5.142396794046e-10
1419694085.938,1419.694085937,5.146336742984e-10
1419694671.875,1419.694671875,5.125660313808e-10
1419695257.812,1419.695257812,5.260821739242e-10
1419695843.750,1419.695843750,5.230358303863e-10
1419696429.688,1419.696429688,5.236340227798e-10
1419697015.625,1419.697015625,5.437738878122e-10
1419697601.562,1419.697601563,5.504592629951e-10
1419698187.500,1419.698187500,5.434574749149e-10
1419698773.438,1419.698773437,5.371324325673e-10
1419699359.375,1419.699359375,5.346052908646e-10
1419699945.312,1419.699945312,5.284300827676e-10
1419700531.250,1419.700531250,5.396016849936e-10
1419701117.188,1419.701117187,5.524079322165e-10
1419701703.125,1419.701703125,5.457339004714e-10
1419702289.062,1419.702289063,5.475476262453e-10
1419702875.000,1419.702875000,5.638340146103e-10
1419703460.938,1419.703460938,5.670502143000e-10
1419704046.875,1419.704046875,5.684984738549e-10
1419704632.812,1419.704632812,5.634860718272e-10
1419705218.750,1419.705218750,5.602385545841e-10
1419705804.688,1419.705804687,5.562294587218e-10
1419706390.625,1419.706390625,5.564985460146e-10
1419706976.562,1419.706976562,5.519214213216e-10
1419707562.500,1419.707562500,5.669635384730e-10
1419708148.438,1419.708148438,5.593911866528e-10
1419708734.375,1419.708734375,5.779991313550e-10
1419709320.312,1419.709320313,5.879686405698e-10
1419709906.250,1419.709906250,5.712137900367e-10
1419710492.188,1419.710492187,5.661835239213e-10
1419711078.125,1419.711078125,5.617136246555e-10
1419711664.062,1419.711664062,5.605672877246e-10
1419712250.000,1419.712250000,5.668515798985e-10
1419712835.938,1419.712835937,5.783011873443e-10
1419713421.875,1419.713421875,5.907451927392e-10
1419714007.812,1419.714007813,6.005575840737e-10
1419714593.750,1419.714593750,5.872518204055e-10
1419715179.688,1419.715179688,5.748452040337e-10
1419715765.625,1419.715765625,5.891272225758e-10
1419716351.562,1419.716351562,5.891129656092e-10
1419716937.500,1419.716937500,5.894980329396e-10
1419717523.438,1419.717523437,5.789881523695e-10
1419718109.375,1419.718109375,5.643669466270e-10
1419718695.312,1419.718695312,5.735356872565e-10
1419719281.250,1419.719281250,5.973264191531e-10
1419719867.188,1419.719867188,5.944444966760e-10
1419720453.125,1419.720453125,5.961728027656e-10
1419721039.062,1419.721039063,6.000184683414e-10
1419721625.000,1419.721625000,5.787271983627e-10
1419722210.938,1419.722210937,5.792257664180e-10
1419722796.875,1419.722796875,5.891522077090e-10
1419723382.812,1419.723382812,5.975497109046e-10
1419723968.750,1419.723968750,5.952491025672e-10
1419724554.688,1419.724554687,6.095540868454e-10
1419725140.625,1419.725140625,6.126688596203e-10
1419725726.562,1419.725726563,6.134306006016e-10
1419726312.500,1419.726312500,5.886203916032e-10
1419726898.438,1419.726898438,5.879442994246e-10
1419727484.375,1419.727484375,5.936396590782e-10
1419728070.312,1419.728070312,5.986683771247e-10
1419728656.250,1419.728656250,6.078080567329e-10
1419729242.188,1419.729242187,5.984442225202e-10
1419729828.125,1419.729828125,6.230656745511e-10
1419730414.062,1419.730414062,6.354495911226e-10
1419731000.000,1419.731000000,6.314974051049e-10
1419731585.938,1419.731585938,6.199998024367e-10
1419732171.875,1419.732171875,6.197208845872e-10
1419732757.812,1419.732757813,6.320297302545e-10
1419733343.750,1419.733343750,6.206202215460e-10
1419733929.688,1419.733929687,6.111474433013e-10
1419734515.625,1419.734515625,6.281662673839e-10
1419735101.562,1419.735101562,6.455178892088e-10
1419735687.500,1419.735687500,6.376338963620e-10
1419736273.438,1419.736273437,6.378508834153e-10
1419736859.375,1419.736859375,6.369253705335e-10
1419737445.312,1419.737445313,6.255017113828e-10
1419738031.250,1419.738031250,6.309721121615e-10
1419738617.188,1419.738617188,6.306201746474e-10
1419739203.125,1419.739203125,6.234498773729e-10
1419739789.062,1419.739789062,6.262310142172e-10
1419740375.000,1419.740375000,6.273368674748e-10
1419740960.938,1419.740960937,6.219752826939e-10
1419741546.875,1419.741546875,6.328572686311e-10
1419742132.812,1419.742132812,6.498517632501e-10
1419742718.750,1419.742718750,6.478251497744e-10
1419743304.688,1419.743304688,6.363112529698e-10
1419743890.625,1419.743890625,6.292117108567e-10
1419744476.562,1419.744476563,6.444326042132e-10
1419745062.500,1419.745062500,6.312510985110e-10
1419745648.438,1419.745648437,6.395906839141e-10
1419746234.375,1419.746234375,6.519153793916e-10
1419746820.312,1419.746820312,6.589365131938e-10
1419747406.250,1419.747406250,6.551360439325e-10
1419747992.188,1419.747992187,6.494039340722e-10
1419748578.125,1419.748578125,6.596377400087e-10
1419749164.062,1419.749164063,6.593535087906e-10
